,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,563,['Steve'],['Robbie Random'],"AD, 6C, 10D, AS, 6D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds"")])}",0
1,53,['Madi'],['Callie Calls'],"7C, QD, QH, QC, 4D","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds"")])}",1
2,495,['Madi'],['Callie Calls'],"9C, 10S, JS, QC, AH","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"2S, 9S, AS, 2D, JD","{'Madi': Hand([Card(""2"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",3
4,4,['Madi'],['Callie Calls'],"6D, AS, AH, 7S, 7C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"AC, JD, 7D, KD, 9D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",5
6,5,['Madi'],['Callie Calls'],"6S, 8C, KC, KH, 6D","{'Madi': Hand([Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Diamonds"")])}",6
7,401,['Madi'],['Callie Calls'],"2H, JH, 2C, 6S, 6C","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"JS, 2S, 6C, 6H, 2D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""2"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""2"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"5H, 2H, 5S, 2S, KS","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""2"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Spades""), Card(""K"", ""Spades"")])}",9
