,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,601,['Cody'],['Robbie Random'],"4H, KS, JH, KC, 4C","{'Cody': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs"")]), 'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Clubs"")])}",0
1,347,['Cody'],['Robbie Random'],"AD, JD, 10S, 7C, 7D","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds"")])}",1
2,671,['Cody'],['Robbie Random'],"3S, 6D, 7D, 3C, AH","{'Cody': Hand([Card(""3"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""A"", ""Hearts"")])}",2
3,214,['Cody'],['Robbie Random'],"2C, 2H, JS, 6S, 6D","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",3
4,3,['Cody'],['Robbie Random'],"5D, KC, 5S, 5H, 3H","{'Cody': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""3"", ""Hearts"")])}",4
5,3,['Bob'],['Floyd Folds'],"4H, 9H, 4C, 10H, 7D","{'Bob': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds"")])}",5
6,3,['Cody'],['Robbie Random'],"3D, 3H, 2D, 2H, QH","{'Cody': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts"")])}",6
7,262,['Cody'],['Robbie Random'],"10H, 8H, JD, 5C, 5D","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds"")])}",7
8,3,['Cody'],['Robbie Random'],"4D, 8S, AD, 9C, 9S","{'Cody': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")])}",8
9,400,['Cody'],['Robbie Random'],"9D, QD, 9S, QS, KS","{'Cody': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Spades"")])}",9
10,3,['Cody'],['Robbie Random'],"2S, 6S, 5S, 4C, 3H","{'Cody': Hand([Card(""2"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""4"", ""Clubs""), Card(""3"", ""Hearts"")])}",10
11,6,['Cody'],['Robbie Random'],"6H, JH, 7S, 10S, JC","{'Cody': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Clubs"")])}",11
12,6,['Cody'],['Robbie Random'],"2S, 2C, JC, QH, JD","{'Cody': Hand([Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds"")])}",12
13,6,['Cody'],['Robbie Random'],"8H, 8D, 10S, AC, AS","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Spades"")])}",13
14,6,['Cody'],['Robbie Random'],"9S, JH, 2D, JD, 2C","{'Cody': Hand([Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""2"", ""Clubs"")])}",14
15,92,['Cody'],['Robbie Random'],"8S, 9S, 10D, 6C, 8D","{'Cody': Hand([Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds"")])}",15
16,6,['Cody'],['Robbie Random'],"JH, 9C, KC, 7S, JD","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds"")])}",16
17,6,['Cody'],['Robbie Random'],"7S, 4S, AH, 10H, 6D","{'Cody': Hand([Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds"")])}",17
18,6,['Cody'],['Robbie Random'],"KC, 2D, 2C, 8C, 10D","{'Cody': Hand([Card(""K"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds"")])}",18
19,6,['Cody'],['Robbie Random'],"6C, 8D, 6D, 7C, QS","{'Cody': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades"")])}",19
20,6,['Cody'],['Robbie Random'],"KS, 3D, 3C, 6D, 3H","{'Cody': Hand([Card(""K"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""3"", ""Hearts"")])}",20
21,12,['Bob'],['Floyd Folds'],"QD, JH, 5S, QC, 5C","{'Bob': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs"")])}",21
