,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,407,['Madi'],['Callie Calls'],"AH, JH, AC, KC, 10D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",0
1,121,['Sophia'],['Callie Calls'],"5H, 8D, 7H, 4D, 6S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""6"", ""Spades"")])}",1
2,218,['Madi'],['Callie Calls'],"QC, QH, 9D, QD, 4H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",2
3,41,['Madi'],['Callie Calls'],"AS, AC, AD, 8H, KD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",3
4,21,['Madi'],['Callie Calls'],"KS, QC, KD, KC, 8C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")])}",4
5,21,['Sophia'],['Callie Calls'],"JC, JS, QH, QD, 8S","{'Cody': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")]), 'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades"")])}",5
6,170,['Madi'],['Callie Calls'],"3H, QD, JC, 3D, AD","{'Cody': Hand([Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Madi': Hand([Card(""3"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds"")])}",6
7,58,['Steve'],['Robbie Random'],"QH, 9C, QS, 7S, JH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Hearts"")])}",7
8,6,['Madi'],['Callie Calls'],"3C, JD, JC, KH, 3H","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Hearts"")])}",8
9,109,['Madi'],['Callie Calls'],"KD, 6D, 6H, KH, JS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")]), 'Steve': Hand([Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Diamonds"")])}",9
