,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,542,['Sophia'],['Callie Calls'],"AD, QS, 4C, KC, 4H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts"")])}",0
1,57,['Steve'],['Robbie Random'],"JC, 10S, 9D, JH, KC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")]), 'Steve': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")])}",1
2,86,['Sophia'],['Callie Calls'],"KD, JH, QH, AH, KS","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")])}",2
3,132,['Sophia'],['Callie Calls'],"7D, 3D, 10D, 9D, 6D","{'Cody': Hand([Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",3
4,21,['Sophia'],['Callie Calls'],"AH, 7D, 7C, 10S, 10C","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")])}",4
5,51,['Sophia'],['Callie Calls'],"9D, AD, JD, QD, 5D","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",5
6,5,['Sophia'],['Callie Calls'],"7D, QC, AS, 10D, 8C","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs"")])}",6
7,4,['Sophia'],['Callie Calls'],"9C, 8D, 5C, JH, AD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"JS, 7C, 9C, KD, JD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"KD, 5D, 5H, AH, QS","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"4C, KC, 8C, 9C, 6C","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"QC, AS, QH, 10C, 9D","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"KS, AH, 3S, 3H, QS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"5D, 5H, 6H, 8H, 10H","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"10D, 5S, 10C, KS, QS","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"2S, 7D, 7S, 2D, KH","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"KD, AC, 7S, 4C, 4H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"8H, 10D, 3D, 3H, 6H","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""6"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"7H, 2C, 10D, 2H, KC","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""K"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"AS, 10S, 4S, 3S, 8S","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Spades""), Card(""3"", ""Spades""), Card(""8"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"10H, JS, 8S, 10C, 7H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts"")])}",20
21,12,['Sophia'],['Callie Calls'],"KS, 9S, KH, QS, 9C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs"")])}",21
22,12,['Sophia'],['Callie Calls'],"5H, KC, 10H, 7S, JS","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"10S, 10D, JC, AD, QH","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"AH, 10S, JC, QS, JD","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",24
25,12,['Sophia'],['Callie Calls'],"QD, QH, JS, 9H, AS","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")])}",25
26,12,['Sophia'],['Callie Calls'],"8C, 9D, 8H, AD, AC","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Clubs"")])}",26
