,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,515,['Sophia'],['Callie Calls'],"7S, 3S, 7H, AH, 3D","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""3"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""3"", ""Diamonds"")])}",0
1,137,['Sophia'],['Callie Calls'],"AS, 8H, QS, JC, 10D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")])}",1
2,30,['Sophia'],['Callie Calls'],"2C, KD, 7H, 2D, 7C","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""7"", ""Clubs"")])}",2
3,6,['Sophia'],['Callie Calls'],"AC, AD, 9D, 10H, JD","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"KD, 6S, 10H, 10C, AC","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs"")])}",4
5,186,['Sophia'],['Callie Calls'],"AC, 9C, KD, 4C, 4D","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds"")])}",5
6,8,['Sophia'],['Callie Calls'],"7H, 10H, 10C, JD, QS","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"10H, 8S, 7S, JD, QD","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"6S, 6C, 8D, 8S, 8H","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"5D, QD, 5S, AC, QH","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"9H, 8S, 6D, 5C, 9C","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""6"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""9"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"10C, AS, 4C, AC, 4S","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"5S, QS, 9C, QD, KS","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"JD, 3S, JH, 10D, 3C","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"8H, AH, 9C, KD, 8S","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"KD, 5D, 7S, AC, JD","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"8S, 6S, 2S, 5S, 4S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Spades""), Card(""2"", ""Spades""), Card(""5"", ""Spades""), Card(""4"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"AC, 2C, 2S, 6C, 6D","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"JS, AD, QH, 8D, AC","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"6H, QH, 4H, 9H, 5H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""9"", ""Hearts""), Card(""5"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"6H, 6D, 6S, QC, QD","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"QS, 10D, KC, AC, AH","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")])}",21
