,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,601,['Madi'],['Callie Calls'],"9S, 8H, 9D, 8C, 9C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Steve': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs"")])}",0
1,5,['Madi'],['Callie Calls'],"5H, 10D, 5S, 9D, 9H","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts"")])}",1
2,184,['Michelle'],['Robbie Random'],"QS, 6S, 4S, JS, 2S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Spades""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")])}",2
3,3,['Madi'],['Callie Calls'],"9D, 7C, 7D, AS, 10S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",3
4,5,['Madi'],['Callie Calls'],"QS, KC, AD, QH, JD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds"")])}",4
5,150,['Madi'],['Callie Calls'],"AS, AD, QS, AC, 6S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Spades"")])}",5
6,6,['Madi'],['Callie Calls'],"7D, QS, 10D, KH, JD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds"")])}",6
7,171,['Madi'],['Callie Calls'],"QS, 10S, AS, AC, QD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",7
8,26,['Madi'],['Callie Calls'],"3D, JS, 10C, 3S, QD","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""3"", ""Spades""), Card(""Q"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"KC, 8D, 8S, JH, AS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")])}",9
10,15,['Madi'],['Callie Calls'],"QD, KS, JC, 8H, QC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs"")])}",10
11,8,['Madi'],['Callie Calls'],"9S, AC, QS, 10S, 9H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"KH, QS, KD, 6C, 9H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""9"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"3C, 4H, 2S, AC, 5S","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""4"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"8C, AS, 5S, 5H, 8S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"3S, 3C, JD, QS, 7C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"JD, JC, 10D, 10H, KH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"7H, 9D, AD, 9H, 6S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"10H, 9S, 9C, 9D, 7C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"10C, QH, AD, JD, QS","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"3H, 8H, KH, 9H, AH","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"9D, AH, QH, QS, 8S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"5S, 3C, 5H, 9C, 9S","{'Madi': Hand([Card(""5"", ""Spades""), Card(""3"", ""Clubs""), Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"3C, 4H, 3D, AS, 4C","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""4"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"6H, 6C, 2D, 2S, KD","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""K"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"5C, 10S, 5H, 7H, 10D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""10"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"KD, AD, 9S, 8C, QH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"7S, 8D, KC, 10H, JH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"8D, JC, 9S, AH, JS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")])}",28
29,12,['Madi'],['Callie Calls'],"7C, 6H, 7S, QH, 10H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")])}",29
