,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,458,['Madi'],['Callie Calls'],"KH, 9S, KC, AH, KD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds"")])}",0
1,114,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","9S, 9D, 7S, JD, 7D","{'Cody': Hand([Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Steve': Hand([Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds"")])}",1
2,140,['Madi'],['Callie Calls'],"8D, 9C, QD, 9S, KD","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Diamonds"")])}",2
3,185,['Steve'],['Robbie Random'],"JS, 8S, AS, KC, 8H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Steve': Hand([Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",3
4,295,['Steve'],['Robbie Random'],"KD, JD, 2D, 4D, 5D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds"")]), 'Steve': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",4
5,234,['Madi'],['Callie Calls'],"KH, 9S, AD, 6D, 10H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts"")])}",5
6,261,['Madi'],['Callie Calls'],"JH, 10S, JD, 9S, AH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")])}",6
7,10,['Madi'],['Callie Calls'],"4C, 2C, 2S, JD, 4S","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""J"", ""Diamonds""), Card(""4"", ""Spades"")])}",7
8,158,['Madi'],['Callie Calls'],"8H, 10D, QS, JD, JH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"QC, 5C, 3C, 3H, 5H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""5"", ""Hearts"")])}",9
