,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,562,['Sophia'],['Callie Calls'],"3D, 7D, 9D, 8D, 2D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Michelle': Hand([Card(""2"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",0
1,160,['Sophia'],['Callie Calls'],"QS, KC, AD, 10D, KH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")])}",1
2,38,['Michelle'],['Robbie Random'],"JD, JS, 10D, AS, 5S","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""3"", ""Clubs"")])}",2
3,11,['Sophia'],['Callie Calls'],"9C, 6H, 10H, 6D, JC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"AH, QS, 3H, 7C, 3D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""3"", ""Hearts""), Card(""7"", ""Clubs""), Card(""3"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"JH, QC, KC, 7H, KD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds"")])}",5
6,56,['Michelle'],['Robbie Random'],"9C, 10H, 10S, 9H, AS","{'Michelle': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")])}",6
7,117,['Sophia'],['Callie Calls'],"9C, 10C, JC, KS, QD","{'Michelle': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds"")])}",7
8,8,['Sophia'],['Callie Calls'],"9C, 5S, 10H, 10D, JC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"8D, KC, QD, JS, 8S","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"9H, 9C, 3C, AS, 3D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""3"", ""Clubs""), Card(""A"", ""Spades""), Card(""3"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"KH, JS, 8S, 8H, QD","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"AS, 2S, 2H, 7D, 2D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"9H, QD, KC, 7H, KH","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"QH, AC, 9H, KD, 10S","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"6C, 8S, 7D, 4S, 5H","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""5"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"5D, 5H, AH, 5S, QS","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""Q"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"10C, JH, 2D, 2H, AD","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""A"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"5H, AD, 5S, 5D, 2C","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""2"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"KS, AH, QS, QH, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades"")])}",19
