,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,700,['Sophia'],['Callie Calls'],"JS, 8D, 6C, 8H, JH","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""5"", ""Spades""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",0
1,3,['Sophia'],['Callie Calls'],"6D, 6C, KS, 9C, JS","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Spades"")])}",1
2,3,['Sophia'],['Callie Calls'],"9S, 9D, QD, JC, 10S","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Spades"")])}",2
3,3,['Sophia'],['Callie Calls'],"QH, KD, 10S, 8H, 9H","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"6C, KH, QD, KS, 9D","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"AS, 10C, AH, QS, QD","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"JH, 7C, KS, 6S, KC","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"9S, JD, QC, QS, JC","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"AC, JC, 5H, 9S, 6S","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""5"", ""Hearts""), Card(""9"", ""Spades""), Card(""6"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"AH, 7H, 6S, 5D, 8H","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Diamonds""), Card(""8"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"3S, 8S, 9S, 7S, AS","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"6C, 5S, 5H, 9H, JH","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"7H, JD, QD, JC, AS","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"6H, QC, AD, 10C, 6D","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""6"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"5H, QD, 7S, 8C, 7H","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"5H, 2S, AS, 3C, 4D","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""3"", ""Clubs""), Card(""4"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"3D, AC, 4H, 4C, 3H","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""3"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"6H, QS, JC, QD, 10H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"7S, 8D, 8C, JS, 7D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"JS, AC, 7D, KS, QD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"JH, 3S, 7S, 7C, 3C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""3"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"JD, 8C, 7C, 10H, 9S","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Spades"")])}",21
22,12,['Sophia'],['Callie Calls'],"5S, 3C, 5H, AD, 3H","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""3"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"KH, JH, AC, JC, AS","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"10C, KD, AD, AC, 6C","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"5H, 8H, 4C, 4S, 5C","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""5"", ""Clubs"")])}",25
26,12,['Sophia'],['Callie Calls'],"KH, AH, 10S, 6H, 10D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds"")])}",26
27,12,['Sophia'],['Callie Calls'],"KH, 10S, QD, JD, 9D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",27
28,12,['Sophia'],['Callie Calls'],"KC, 3C, KH, QD, 3S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""3"", ""Spades"")])}",28
