,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,356,['Sophia'],['Callie Calls'],"KH, KC, QC, 10S, QH","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",0
1,277,['Sophia'],['Callie Calls'],"QH, 6S, 8S, 8C, 10C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Steve': Hand([Card(""6"", ""Hearts""), Card(""5"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs"")])}",1
2,62,['Sophia'],['Callie Calls'],"5D, 3C, 4D, AH, 2C","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""2"", ""Clubs"")])}",2
3,24,['Sophia'],['Callie Calls'],"QH, JH, 5H, 2H, KH","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""5"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""5"", ""Hearts""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"5H, 4D, KS, 5C, 7S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""K"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"KS, 9S, 4S, QS, 5S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Spades"")])}",5
6,36,['Sophia'],['Callie Calls'],"9S, 5D, 2C, 5H, 5C","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""5"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"5S, 10H, 8H, QC, 8C","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs"")])}",7
8,4,['Sophia'],['Callie Calls'],"8C, 10H, AC, KD, 5H","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""5"", ""Hearts"")])}",8
9,82,['Sophia'],['Callie Calls'],"QH, 4S, 4C, JC, 6C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")])}",9
10,7,['Sophia'],['Callie Calls'],"7C, 4D, KD, 4C, 10C","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""10"", ""Clubs"")])}",10
11,26,['Sophia'],['Callie Calls'],"5C, 10H, 5S, KS, 10C","{'Michelle': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"6S, 6H, 10C, 10H, 10D","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"KD, 3D, 3S, 10H, 10C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"10C, QC, 2C, 4C, 8C","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""4"", ""Clubs""), Card(""8"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"QC, 9H, KH, JC, 7D","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"6H, 10C, 9S, 6D, KS","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"7S, QC, QS, KC, 7D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"AH, 2S, 5C, 4D, 3S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""2"", ""Spades""), Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""3"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"6D, 2D, AD, QD, 5D","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",19
