,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,657,['Sophia'],['Callie Calls'],"10D, 7S, 6C, 8C, 9S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Spades"")])}",0
1,71,['Sophia'],['Callie Calls'],"5D, KC, 5S, AD, 5H","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts"")])}",1
2,18,['Sophia'],['Callie Calls'],"6S, KC, KS, 3S, 3D","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds"")])}",2
3,3,['Sophia'],['Callie Calls'],"QC, QH, QS, JH, JD","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"9C, 10H, AD, 6D, KD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"AD, JH, 4D, 4H, JD","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""J"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"JC, 3H, AC, 3D, 10C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""10"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"2S, 5S, 5C, AC, 2H","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"AH, 9S, 10D, 9D, JS","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"10C, 2D, AS, 2H, JD","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Hearts""), Card(""J"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"5C, 7D, QC, 9H, QD","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"10D, JS, 8S, 8C, AS","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"10S, 2D, 5S, 5H, 2C","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""2"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""2"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"9C, 5D, 9S, 6C, 7D","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds"")])}",13
