,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,425,['Sophia'],['Callie Calls'],"AS, JD, 5S, 5H, 7D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds"")])}",0
1,186,['Sophia'],['Callie Calls'],"4H, 7S, 9C, QS, KS","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Spades"")])}",1
2,172,['Sophia'],['Callie Calls'],"AC, 10H, JD, JH, KC","{'Cody': Hand([Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")])}",2
3,92,['Sophia'],['Callie Calls'],"4S, 9S, 2S, 10S, KS","{'Michelle': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""9"", ""Spades""), Card(""2"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Spades"")])}",3
4,12,['Sophia'],['Callie Calls'],"KH, 6C, KD, AS, KC","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",4
5,5,['Sophia'],['Callie Calls'],"2D, 2S, 8H, 8C, 2H","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs""), Card(""2"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"KS, 7H, KC, 8D, 7C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"2D, 8S, JH, 8H, 2H","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""2"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"7H, 8H, 4H, KH, JC","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"10H, KH, KD, KC, 9H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"9C, 10C, 2C, 2H, AD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Diamonds"")])}",10
