,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,488,['Steve'],['Robbie Random'],"QH, JD, QC, 2D, 2S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",0
1,244,['Cody'],['Robbie Random'],"2C, 5S, 4S, AD, 3D","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",1
2,37,['Alice'],['Ricky Raise'],"5S, 5C, QD, 8H, 5D","{'Alice': Hand([Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds"")])}",2
3,285,['Steve'],['Robbie Random'],"QD, 8H, JS, 5H, 10D","{'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""10"", ""Diamonds"")])}",3
4,21,['Steve'],['Robbie Random'],"JD, 8D, 8C, 10D, 10H","{'Steve': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",4
5,375,['Steve'],['Robbie Random'],"AD, AH, 9C, 8C, AS","{'Steve': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")])}",5
6,3,['Cody'],['Robbie Random'],"2D, KD, 2S, 6H, JS","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Spades"")])}",6
7,4,['Steve'],['Robbie Random'],"QD, KH, QH, QC, QS","{'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades"")])}",7
8,620,['Cody'],['Robbie Random'],"7C, KH, 9H, 6C, 10D","{'Cody': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds"")])}",8
9,3,['Steve'],['Robbie Random'],"5S, 10D, 9S, JC, 6C","{'Steve': Hand([Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")])}",9
