,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Steve'],['Robbie Random'],"5D, 8D, 10H, AD, 5H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Steve': Hand([Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds"")])}",0
1,116,['Alice'],['Ricky Raise'],"KC, AC, 5S, 5C, 7C","{'Alice': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs"")])}",1
2,592,['Michelle'],['Robbie Random'],"QD, KC, JH, KS, 9D","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",2
3,523,['Steve'],['Robbie Random'],"4C, 3C, 8C, 9C, KC","{'Steve': Hand([Card(""4"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs"")])}",3
4,17,['Alice'],['Ricky Raise'],"4H, 4D, AC, 10D, 6D","{'Alice': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",4
5,47,['Alice'],['Ricky Raise'],"9C, JH, 10S, 10D, 6C","{'Alice': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",5
6,632,['Steve'],['Robbie Random'],"3H, 3D, 3S, QD, 10S","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Steve': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades"")])}",6
7,3,['Alice'],['Ricky Raise'],"KD, 10S, KS, QC, 7S","{'Alice': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades"")])}",7
8,29,['Alice'],['Ricky Raise'],"KD, QH, 10D, JC, JH","{'Alice': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts"")])}",8
9,73,['Alice'],['Ricky Raise'],"10D, 9D, 10C, KS, AD","{'Alice': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")])}",9
10,3,['Alice'],['Ricky Raise'],"KC, 6C, 7S, 6H, AS","{'Alice': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Spades"")])}",10
11,620,['Steve'],['Robbie Random'],"KC, AH, JC, QS, KS","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Spades"")])}",11
12,44,['Steve'],['Robbie Random'],"8C, 6H, 9C, JC, 9H","{'Steve': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts"")])}",12
13,658,['Steve'],['Robbie Random'],"AC, AS, 6D, QH, QC","{'Steve': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs"")])}",13
