,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,533,['Michelle'],['Robbie Random'],"4C, KH, 6H, 6D, 4S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds"")]), 'Michelle': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds"")])}",0
1,262,['Steve'],['Robbie Random'],"QH, QC, 8D, KC, 10H","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",1
2,403,['Steve'],['Robbie Random'],"QS, 9D, 7C, KD, QH","{'Steve': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",2
3,212,['Steve'],['Robbie Random'],"4H, 2H, 2C, 4C, 4S","{'Steve': Hand([Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Spades"")])}",3
4,11,['Steve'],['Robbie Random'],"QC, 7H, JD, JS, 5H","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Hearts"")])}",4
5,3,['Michelle'],['Robbie Random'],"9D, 9C, 9S, QH, 5H","{'Michelle': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts"")])}",5
6,68,['Michelle'],['Robbie Random'],"9H, 6H, 9S, QC, 6D","{'Michelle': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")])}",6
7,273,['Steve'],['Robbie Random'],"JC, AS, 7H, 7D, 5S","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""5"", ""Spades"")])}",7
8,431,['Steve'],['Robbie Random'],"QH, 7C, KH, 9C, 10H","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts"")])}",8
9,511,['Steve'],['Robbie Random'],"AS, 7S, QS, 5S, 4S","{'Steve': Hand([Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""4"", ""Spades"")])}",9
