,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,578,['Sophia'],['Callie Calls'],"9C, AH, AD, 4D, 4S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades"")])}",0
1,189,['Sophia'],['Callie Calls'],"10H, AS, QC, 10C, 5H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""5"", ""Hearts"")])}",1
2,40,['Sophia'],['Callie Calls'],"QS, JS, 5S, AC, 8H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts"")])}",2
3,8,['Sophia'],['Callie Calls'],"QD, 9D, 10S, AS, 7S","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"10S, AS, 5D, KH, JC","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"5C, 5D, 5S, KD, JS","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"9C, 8C, AC, 9H, 8D","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"9C, 7C, QD, 10H, JH","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"JD, 8D, QH, 7S, KD","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"7C, QD, JC, KC, 7D","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"QS, 6C, AS, 6D, 10H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"3D, QS, JH, JS, 3C","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"JC, 4D, 4S, JS, 4H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""J"", ""Spades""), Card(""4"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"AC, 8H, 9D, 8S, 8D","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"QH, QD, JH, 8D, QC","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"AH, AC, KH, 8C, 8D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"8S, 8D, QH, 7S, JS","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"AD, 9D, KD, 9H, KS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")])}",17
