,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,383,['Sophia'],['Callie Calls'],"5C, 5D, KS, JC, 8S","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Spades"")])}",0
1,290,['Sophia'],['Callie Calls'],"10D, 8C, 10H, 6C, AD","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds"")])}",1
2,109,['Sophia'],['Callie Calls'],"QH, 10H, 8S, 10D, AD","{'Michelle': Hand([Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",2
3,56,['Sophia'],['Callie Calls'],"AD, 8D, 10S, JS, QS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades"")])}",3
4,15,['Sophia'],['Callie Calls'],"4H, KS, 4D, 10C, 9C","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"8D, 6C, 8H, 3C, 3D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"QD, JS, 5H, 5C, 10H","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"8D, KH, 5D, 5S, JC","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"5C, 6C, 5S, AH, 6S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"AS, KS, QD, 7D, 9D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"7H, 9H, 7D, 9S, AS","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"KC, AS, KD, QD, 10D","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"3H, 5C, 5H, 3D, AS","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"10H, QC, AC, AH, 10D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")])}",13
