,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,406,['Sophia'],['Callie Calls'],"KC, JH, QS, 10D, 9S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Michelle': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades"")])}",0
1,296,['Madi'],['Callie Calls'],"6D, 9C, 6S, 9D, 6C","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs"")])}",1
2,129,['Madi'],['Callie Calls'],"AD, 3S, 3C, 2C, 2H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")]), 'Steve': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")])}",2
3,31,['Sophia'],['Callie Calls'],"QS, 9H, QC, JD, 10H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts"")])}",3
4,19,['Madi'],['Callie Calls'],"4C, 4H, 7C, 8D, KH","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts"")])}",4
5,11,['Madi'],['Callie Calls'],"KS, 4C, 8D, KH, 4H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts"")])}",5
6,7,['Sophia'],['Callie Calls'],"JD, 3C, 10D, 7S, 3H","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""3"", ""Hearts"")])}",6
7,4,['Madi'],['Callie Calls'],"8S, QS, 8C, 8D, 4H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""4"", ""Hearts"")])}",7
8,6,['Sophia'],['Callie Calls'],"QS, QD, 8C, AS, KS","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades"")])}",8
9,5,['Sophia'],['Callie Calls'],"AH, 10S, QD, 8H, JS","{'Madi': Hand([Card(""A"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")])}",9
10,4,['Sophia'],['Callie Calls'],"4H, 10D, 4S, 4D, 8D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",10
11,12,['Madi'],['Callie Calls'],"AD, 7H, AS, JS, 7D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds"")])}",11
12,10,['Sophia'],['Callie Calls'],"KS, 3S, 9S, 4S, JS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""3"", ""Spades""), Card(""9"", ""Spades""), Card(""4"", ""Spades""), Card(""J"", ""Spades"")])}",12
13,8,['Madi'],['Callie Calls'],"JS, JC, 9C, 9S, QD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds"")])}",13
14,12,['Madi'],['Callie Calls'],"QH, AC, AH, 8D, QC","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",14
15,10,['Madi'],['Callie Calls'],"QS, 9D, QD, JH, JD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds"")])}",15
