,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,353,['Madi'],['Callie Calls'],"QH, JD, 7S, 9D, JH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts"")])}",0
1,303,['Madi'],['Callie Calls'],"JH, 5C, 5H, AH, JS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")])}",1
2,140,['Madi'],['Callie Calls'],"10D, 10H, 7C, QS, 6C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Clubs"")]), 'Michelle': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Clubs"")])}",2
3,65,['Madi'],['Callie Calls'],"KH, AS, JS, 7H, KC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs"")])}",3
4,51,['Madi'],['Callie Calls'],"7C, JC, QD, 5S, 6S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""6"", ""Spades"")])}",4
5,13,['Madi'],['Callie Calls'],"JD, QC, 5H, 8H, QH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""A"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""8"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"10S, QC, 8D, 10D, 7S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"JC, 6S, QD, 6H, QH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"2D, 6H, 2S, 10C, AH","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"6D, 10S, 8D, AS, KS","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"5S, 5C, 6C, 8D, 6S","{'Madi': Hand([Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"KC, 10C, JH, 9D, QS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"JH, 3H, 2H, 6H, 5H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Hearts""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""5"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"8H, 8C, KH, 3S, 8D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""8"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"8H, 7D, 7H, QS, 8S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"6H, QS, 5D, QH, AC","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"AH, 5D, KS, JD, 5C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"5H, 5D, QH, 5S, 9C","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""9"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"7S, 7H, KS, JD, QS","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"JC, 10D, KD, QC, 10H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"AD, 6C, KD, KH, 6S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""6"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"QD, AH, 7C, 7S, KH","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""K"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"3D, KH, AC, 3H, 10D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Hearts""), Card(""10"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"2D, KH, 2S, QD, QC","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"6C, QS, 6D, AH, KH","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"AH, 10D, KD, JC, KS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"AC, 4H, KC, JH, 6D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds"")])}",26
27,12,['Madi'],['Callie Calls'],"7C, KD, 8C, 8S, 7S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"9C, 10C, 8D, KH, 7H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""7"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"9S, 10H, QD, AH, 7D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")])}",29
