,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,587,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JD, KS, 10C, AC, QC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Michelle': Hand([Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Clubs"")])}",0
1,22,['Sophia'],['Callie Calls'],"KC, JC, AH, 10C, JD","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds"")])}",1
2,21,['Madi'],['Callie Calls'],"6C, 5S, AS, 6S, 6H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")])}",2
3,6,['Sophia'],['Callie Calls'],"AH, 2S, 2C, 2D, 10C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""10"", ""Clubs"")])}",3
4,6,['Madi'],['Callie Calls'],"JS, AC, 2S, 2D, JH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")])}",4
5,7,['Sophia'],['Callie Calls'],"7S, 3D, 10H, JS, 3S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""3"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Spades"")])}",5
6,96,['Sophia'],['Callie Calls'],"8H, 8C, AH, AC, KD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds"")])}",6
7,6,['Madi'],['Callie Calls'],"JC, AH, 9S, 10C, JH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts"")])}",7
8,8,['Madi'],['Callie Calls'],"JC, KH, 8S, QS, 8H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")])}",8
9,7,['Madi'],['Callie Calls'],"KD, 8D, 8S, KH, 6C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",9
