,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,343,['Madi'],['Callie Calls'],"7H, JC, 4S, JD, 7C","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""J"", ""Diamonds"")])}",0
1,242,['Madi'],['Callie Calls'],"3C, 7H, 3H, 7C, 10D","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""7"", ""Hearts""), Card(""3"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Michelle': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds"")])}",1
2,85,['Madi'],['Callie Calls'],"4C, 10S, QS, 4H, JC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs"")])}",2
3,83,['Madi'],['Callie Calls'],"JH, KD, QC, KH, AD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds"")])}",3
4,57,['Steve'],['Robbie Random'],"10D, 8H, 9S, 6D, 7D","{'Madi': Hand([Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",4
5,98,['Madi'],['Callie Calls'],"JH, 7C, 9C, 9D, 7H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts"")])}",5
6,11,['Madi'],['Callie Calls'],"KH, 8S, JD, 8D, JC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"AC, 9D, KD, 10H, QS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades"")])}",7
8,10,['Madi'],['Callie Calls'],"4S, 6H, 7H, 10H, JC","{'Madi': Hand([Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"JC, 7D, 7H, KH, KS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")])}",9
10,6,['Madi'],['Callie Calls'],"KD, JC, 8S, KH, 8D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""3"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""8"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"10H, 9C, KD, AD, 10S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"KD, 10S, 8D, QD, 10D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"10S, AC, 9C, QH, KD","{'Madi': Hand([Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"7H, 8H, 10C, 10S, 7C","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"AH, JS, QC, AD, 7S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"KC, JC, QH, 10H, JD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"KD, JH, 9D, KS, AH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")])}",17
