,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,351,['Sophia'],['Callie Calls'],"KS, JD, 10D, 9C, QS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades"")])}",0
1,77,['Sophia'],['Callie Calls'],"8H, 9C, 10H, JH, AS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")])}",1
2,9,['Sophia'],['Callie Calls'],"10S, 6D, 2H, KH, 2C","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""6"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs"")])}",2
3,3,['Sophia'],['Callie Calls'],"QC, QH, 9C, 8S, 8C","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")])}",3
4,224,['Sophia'],['Callie Calls'],"JH, JC, AS, 5H, JD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds"")])}",4
5,9,['Michelle'],['Robbie Random'],"AC, AD, 8C, 8H, 8D","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Spades"")])}",5
6,54,['Sophia'],['Callie Calls'],"8S, QH, AS, 6S, KC","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Clubs"")])}",6
7,4,['Sophia'],['Callie Calls'],"JS, AS, 10H, AH, JC","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs"")])}",7
8,52,['Sophia'],['Callie Calls'],"QS, 5C, 4S, 5D, 4H","{'Cody': Hand([Card(""2"", ""Hearts""), Card(""4"", ""Spades""), Card(""2"", ""Spades""), Card(""J"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Michelle': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades""), Card(""J"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""4"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"QS, 10C, 7D, 10D, 9C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"JS, JH, 8S, 9D, AC","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"JD, 10H, AD, 7C, 8C","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"KS, AD, 6D, AS, 6H","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"6S, JC, 10H, 9C, AD","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"AC, 6C, 8H, KD, 9S","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"5D, 5C, AS, 10H, 10C","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"AH, 10C, 8S, 8D, KS","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"AC, KH, JD, 3C, 3S","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"8C, 8D, JC, 8H, QH","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"2H, QH, 2S, 2C, 8S","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""8"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"QD, QH, KC, 7D, QS","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"7S, JD, 7H, 8C, QD","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",21
