,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,428,['Sophia'],['Callie Calls'],"7H, 7D, JH, 9D, 9H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts"")])}",0
1,217,['Sophia'],['Callie Calls'],"AH, 9D, AC, 6D, JD","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",1
2,71,['Steve'],['Robbie Random'],"JS, 10C, 9D, QS, 8C","{'Steve': Hand([Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs"")])}",2
3,200,['Michelle'],['Robbie Random'],"10D, AD, KC, 2D, 2S","{'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",3
4,354,['Michelle'],['Robbie Random'],"5H, 5S, 10S, KC, AD","{'Michelle': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds"")])}",4
5,7,['Sophia'],['Callie Calls'],"KS, 10S, JD, 3S, 3C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs"")])}",5
6,618,['Sophia'],['Callie Calls'],"9S, QS, AH, AD, 9D","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",6
7,88,['Sophia'],['Callie Calls'],"5D, 5S, AC, 7H, AH","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"5D, 10S, 6S, 10C, 8C","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"9S, JD, KD, 10H, QH","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts"")])}",9
10,6,['Sophia'],['Callie Calls'],"6H, QH, JC, KH, QS","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades"")])}",10
11,44,['Sophia'],['Callie Calls'],"JD, KS, JS, JC, 3H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""3"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"10C, 9S, 10H, 4S, 4C","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"QS, 10C, 4H, 9C, JC","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"KC, 9C, JS, KH, QC","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"6D, QC, 8H, 9C, 4S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""4"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"8C, AS, 6D, 10S, 6C","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"KC, 8C, KH, 10S, 7S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"3S, 3C, 3D, AD, 3H","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"5D, JD, 5S, AC, 10H","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"10S, 8C, 9S, AC, 6S","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"AS, 5S, QC, 5D, 9C","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Clubs"")])}",21
22,12,['Sophia'],['Callie Calls'],"10S, 4H, 10C, KD, 6H","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"4S, 3D, 3H, 4C, 10D","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Diamonds"")])}",23
24,12,['Sophia'],['Callie Calls'],"KC, JC, 10H, QC, KH","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")])}",24
25,12,['Sophia'],['Callie Calls'],"7S, 3S, AS, 3C, 8D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""3"", ""Spades""), Card(""A"", ""Spades""), Card(""3"", ""Clubs""), Card(""8"", ""Diamonds"")])}",25
26,12,['Sophia'],['Callie Calls'],"AS, 7C, 5D, 7S, 8D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Diamonds"")])}",26
27,12,['Sophia'],['Callie Calls'],"9D, KD, 8D, QH, 10H","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")])}",27
28,12,['Sophia'],['Callie Calls'],"9D, JD, 8D, 2D, 3D","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",28
29,12,['Sophia'],['Callie Calls'],"3D, 3C, 10D, 7C, KH","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts"")])}",29
30,12,['Sophia'],['Callie Calls'],"3C, 7C, 6C, AC, JC","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs"")])}",30
