,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,447,['Sophia'],['Callie Calls'],"5H, AH, 9H, 10S, AD","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds"")])}",0
1,99,['Madi'],['Callie Calls'],"QD, 3S, 3C, 9H, 3H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""9"", ""Hearts""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""9"", ""Hearts""), Card(""3"", ""Hearts"")])}",1
2,105,['Sophia'],['Callie Calls'],"6H, KS, AH, QS, AD","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",2
3,148,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","4H, 4C, QC, 4D, 3C","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""3"", ""Clubs"")])}",3
4,21,['Madi'],['Callie Calls'],"6C, KS, 10D, 6H, QH","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",4
5,17,['Sophia'],['Callie Calls'],"KD, 4C, 2S, 4H, 2C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""2"", ""Spades""), Card(""9"", ""Hearts""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""2"", ""Spades""), Card(""4"", ""Hearts""), Card(""2"", ""Clubs"")])}",5
6,115,['Sophia'],['Callie Calls'],"QH, 3C, 3D, 10D, 3H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""3"", ""Hearts"")])}",6
7,20,['Michelle'],['Robbie Random'],"9S, KC, 9D, 9C, 6H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Michelle': Hand([Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",7
8,61,['Madi'],['Callie Calls'],"5C, 6H, 8C, 7D, 9D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs"")])}",8
9,5,['Sophia'],['Callie Calls'],"8S, 9S, KC, 10H, 9C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs"")])}",9
