,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,598,['Cody'],['Robbie Random'],"7S, 3C, AH, 7H, 3D","{'Cody': Hand([Card(""7"", ""Spades""), Card(""3"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Madi': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts"")])}",0
1,224,['Cody'],['Robbie Random'],"KH, KC, 8S, KS, 8H","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Hearts"")])}",1
2,8,['Cody'],['Robbie Random'],"JD, 8H, 7H, 8D, 7S","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades"")])}",2
3,90,['Michelle'],['Robbie Random'],"JS, QS, QC, 5D, 8S","{'Michelle': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Spades"")])}",3
4,36,['Michelle'],['Robbie Random'],"KS, 6S, 9D, 4D, 9S","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades"")])}",4
5,303,['Michelle'],['Robbie Random'],"10C, 10S, 2H, KD, 2S","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades"")])}",5
6,3,['Cody'],['Robbie Random'],"7C, 9D, 10D, QH, 9H","{'Cody': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",6
7,407,['Michelle'],['Robbie Random'],"9H, KH, 3S, AD, 3C","{'Michelle': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Clubs"")])}",7
8,3,['Bob'],['Floyd Folds'],"AD, KH, QH, JC, JD","{'Bob': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds"")])}",8
9,6,['Cody'],['Robbie Random'],"10S, JC, AD, KS, 10C","{'Cody': Hand([Card(""10"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Clubs"")])}",9
