,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,488,['Madi'],['Callie Calls'],"QD, 7C, QS, KH, 4D","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds"")])}",0
1,251,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","JH, QH, KH, 6C, 6D","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",1
2,66,['Madi'],['Callie Calls'],"QH, 10D, QD, 9C, KC","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs"")])}",2
3,8,['Madi'],['Callie Calls'],"KH, JC, AH, 8D, 8H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts"")])}",3
4,181,['Cody'],['Robbie Random'],"KH, 4H, 7C, JC, 4S","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Spades"")]), 'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""5"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"8C, 6C, 6H, KC, 10S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Spades"")])}",5
6,22,['Madi'],['Callie Calls'],"6D, 7S, 7H, 9S, 10S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Spades"")])}",6
7,139,['Madi'],['Callie Calls'],"10C, JH, KC, QD, 6C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs"")])}",7
8,132,['Madi'],['Callie Calls'],"5S, QD, KH, 8D, 6C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs"")])}",8
9,6,['Madi'],['Callie Calls'],"4S, 10H, QH, KH, 4C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs"")])}",9
