,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,369,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","2D, AH, 2H, 10H, 9D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds"")])}",0
1,389,['Madi'],['Callie Calls'],"4C, 4H, AD, 6D, 6C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs"")])}",1
2,116,['Madi'],['Callie Calls'],"9H, JH, KS, 7D, JS","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Madi': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Spades"")])}",2
3,39,['Sophia'],['Callie Calls'],"10S, 3H, QC, 3D, 10C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""10"", ""Clubs"")])}",3
4,8,['Steve'],['Robbie Random'],"QC, JC, QS, JD, KH","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts"")])}",4
5,25,['Sophia'],['Callie Calls'],"7S, 8C, 9C, 7H, KH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts"")])}",5
6,6,['Sophia'],['Callie Calls'],"KD, AC, 6S, 8H, QD","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",6
7,12,['Sophia'],['Callie Calls'],"10H, KH, JC, JS, 9S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")])}",7
8,5,['Sophia'],['Callie Calls'],"2D, 4C, 3C, AS, 5C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Clubs"")])}",8
9,4,['Sophia'],['Callie Calls'],"6S, 5C, 5H, QS, 8H","{'Madi': Hand([Card(""J"", ""Spades""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")])}",9
