,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,534,['Madi'],['Callie Calls'],"6C, QH, KH, 10D, 6S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades"")])}",0
1,140,['Madi'],['Callie Calls'],"7D, 7H, 6C, 4D, AS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Spades"")])}",1
2,130,['Madi'],['Callie Calls'],"JS, 7S, 6S, AS, 4S","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Spades""), Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""4"", ""Spades"")])}",2
3,27,['Madi'],['Callie Calls'],"6S, QS, 7C, AC, KD","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"KH, 10S, 6D, 10H, 6C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs"")])}",4
5,8,['Madi'],['Callie Calls'],"QH, 9H, JH, JS, 9D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds"")])}",5
6,6,['Madi'],['Callie Calls'],"10S, QC, 8D, 9D, 8H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"9C, 9H, KD, 8H, JC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"5C, JD, 9S, 5H, 9D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"QH, 9C, 9S, 10S, KC","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"10H, 9C, 8S, 7H, 6H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"3H, AD, AH, JH, JS","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"JS, JC, 7D, AD, 7H","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"7C, KD, 7D, JC, JD","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"JD, 3H, 3S, KS, 10H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"QS, AS, 10D, 6S, 6D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"8D, 8H, 6H, 6S, JC","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"8H, 6H, 5H, QH, 3H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"4S, 6S, 5C, 7C, 8D","{'Madi': Hand([Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"JS, 8C, JD, 7S, 7H","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"JH, 6H, 6D, 2D, 2S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"8S, JS, KH, 8D, JH","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"QD, 9C, 10D, JS, AS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"8C, 10D, 10H, 8H, QS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"6H, 9C, 6C, 9D, QS","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""9"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"10C, 8D, QD, 7S, KD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")])}",25
