,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,466,['Sophia'],['Callie Calls'],"KH, QD, 8C, JH, QH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts"")])}",0
1,205,['Steve'],['Robbie Random'],"5C, 5S, 10D, KS, KC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs"")])}",1
2,324,['Sophia'],['Callie Calls'],"8C, QS, 9H, AC, QD","{'Steve': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",2
3,92,['Sophia'],['Callie Calls'],"KC, 10C, AC, 8C, 2C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""2"", ""Clubs"")])}",3
4,12,['Sophia'],['Callie Calls'],"4H, 5C, 5H, 4D, 4S","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades"")])}",4
5,48,['Sophia'],['Callie Calls'],"AH, 4H, QD, 4S, KS","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""4"", ""Spades""), Card(""K"", ""Spades"")])}",5
6,4,['Sophia'],['Callie Calls'],"10H, QS, 10C, 8D, 8S","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"JS, 10C, 10H, JD, 5S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"9C, AC, QH, 7D, 7C","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"4S, 6H, 7C, 3S, 5D","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""3"", ""Spades""), Card(""5"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"6S, KS, 6H, 8S, 8D","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"9C, AH, QS, AS, QD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"KC, 6H, QD, 9H, 9S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"5S, JD, AC, 5D, KH","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"4S, KS, 6S, 3S, 5S","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""3"", ""Spades""), Card(""5"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"9S, 2C, 9D, KC, 2S","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""2"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"3H, 10S, 3S, 3D, 6D","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""10"", ""Spades""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"6S, JS, 9S, 5S, 2S","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""5"", ""Spades""), Card(""2"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"5C, JS, QC, AD, 5H","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"6H, 7S, 8S, KH, 10D","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"QS, KC, 5D, AC, 5C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs"")])}",20
