,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,415,['Madi'],['Callie Calls'],"10H, 7C, 8H, 6C, 9S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""6"", ""Clubs""), Card(""2"", ""Hearts""), Card(""9"", ""Spades"")])}",0
1,186,['Madi'],['Callie Calls'],"JC, KD, QC, 3C, 3H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",1
2,101,['Madi'],['Callie Calls'],"2C, AD, KC, KD, 2H","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Hearts"")])}",2
3,60,['Cody'],['Robbie Random'],"KD, AH, 7H, 8S, 8C","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")]), 'Madi': Hand([Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""6"", ""Spades"")])}",3
4,22,['Madi'],['Callie Calls'],"7C, 10S, 6D, 8H, 9S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Spades"")])}",4
5,13,['Madi'],['Callie Calls'],"3H, QH, 9H, 4H, 2H","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""4"", ""Hearts""), Card(""2"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",5
6,46,['Madi'],['Callie Calls'],"AH, AD, KD, 9S, 8D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",6
7,138,['Madi'],['Callie Calls'],"4C, 9H, 4S, AS, QD","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""9"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"10C, AD, JS, KH, JD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"JH, QH, 9C, 7C, KC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"KS, 9D, 8D, 7S, 8S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"AS, 4D, KS, 8S, 8C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"10S, JH, 10H, 10D, JS","{'Madi': Hand([Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"6C, QD, 10S, KH, 6S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"9C, 9H, 8H, QS, 7C","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"9D, AH, KS, KC, JH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"10H, KS, 9D, 10D, 8C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"JH, 10C, AC, JD, 8H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"KH, 6D, QC, 10S, 8H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"AD, 6H, KH, 10D, 6C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"9C, 3D, 9D, 3H, QC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""Q"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"KH, 2D, 10H, 10S, 2S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""2"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"8D, JC, QC, AS, 9D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"KC, 2C, JH, JS, 2H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""2"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"10S, 2C, 10C, KH, 2S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""2"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"10C, KC, JD, QH, KD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"6D, 3D, 4H, 2H, 5C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""5"", ""Clubs"")])}",26
27,12,['Madi'],['Callie Calls'],"QS, 6D, QD, KS, 6H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"7H, 8D, JS, 8S, 5D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds"")])}",28
29,12,['Madi'],['Callie Calls'],"JC, JS, 6D, QC, KS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades"")])}",29
