,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,527,['Michelle'],['Robbie Random'],"5C, QC, KC, 4C, 10C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Michelle': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",0
1,533,['Cody'],['Robbie Random'],"AD, 5D, AH, 10H, 10C","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",1
2,11,['Beezie'],['Ricky Raise'],"10H, 10D, 6C, QD, 8H","{'Beezie': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts"")])}",2
3,551,['Michelle'],['Robbie Random'],"AC, QD, QC, 3D, QH","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",3
4,3,['Cody'],['Robbie Random'],"10H, 6C, KS, AC, 5H","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Hearts"")])}",4
5,219,['Michelle'],['Robbie Random'],"10C, 7D, 8D, 9H, 6D","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Diamonds"")])}",5
6,420,['Cody'],['Robbie Random'],"AH, 7S, JS, QD, 7H","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Michelle': Hand([Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts"")])}",6
7,272,['Cody'],['Robbie Random'],"8C, 8D, KH, AH, 9S","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",7
8,3,['Michelle'],['Robbie Random'],"KC, 10S, QH, 7C, 7H","{'Michelle': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",8
9,3,['Cody'],['Robbie Random'],"JC, 6C, 4C, 4H, 6S","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Spades"")])}",9
10,3,['Cody'],['Robbie Random'],"9H, AD, 8C, 10C, QS","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades"")])}",10
11,217,['Cody'],['Robbie Random'],"4C, 8D, 6D, 5D, 7H","{'Cody': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""7"", ""Hearts"")])}",11
12,6,['Cody'],['Robbie Random'],"4S, 4C, 10C, 4H, 10S","{'Cody': Hand([Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Hearts""), Card(""10"", ""Spades"")])}",12
