,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,448,['Madi'],['Callie Calls'],"QH, 10C, 7H, QC, 10D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds"")])}",0
1,185,['Steve'],['Robbie Random'],"AS, 3S, 6S, JS, 10S","{'Madi': Hand([Card(""5"", ""Spades""), Card(""3"", ""Spades""), Card(""6"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades"")]), 'Steve': Hand([Card(""A"", ""Spades""), Card(""3"", ""Spades""), Card(""6"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades"")])}",1
2,332,['Madi'],['Callie Calls'],"6C, 7S, 6H, 10C, 8D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Steve': Hand([Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds"")])}",2
3,77,['Madi'],['Callie Calls'],"AD, 7H, 8D, 10H, JS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Spades"")])}",3
4,32,['Madi'],['Callie Calls'],"5H, QC, AS, 5C, 10C","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""10"", ""Clubs"")])}",4
5,21,['Steve'],['Robbie Random'],"5S, 4D, 3H, 2D, 6C","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""4"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Spades""), Card(""4"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""6"", ""Clubs"")])}",5
6,61,['Michelle'],['Robbie Random'],"7D, KS, 6C, AS, 7H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")]), 'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")]), 'Steve': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Spades"")])}",6
7,118,['Madi'],['Callie Calls'],"8H, AC, 7S, 7C, 10C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs"")])}",7
8,6,['Michelle'],['Robbie Random'],"JC, AC, KC, AD, JD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",8
9,5,['Madi'],['Callie Calls'],"QD, QS, KD, 9S, 9H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Hearts"")])}",9
10,4,['Madi'],['Callie Calls'],"10H, 10C, 10D, 5S, AD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"10H, JH, 2H, KC, 2C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts""), Card(""K"", ""Clubs""), Card(""2"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"9D, 6H, 10D, 9H, 8C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"9H, 8C, QD, AD, KS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"8D, JC, 8S, AH, 10S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"JS, JD, 10S, 3D, 3C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"2D, 2S, AH, 10S, 10C","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")])}",16
