,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,513,['Madi'],['Callie Calls'],"8C, 8D, KH, KC, AH","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")])}",0
1,134,['Madi'],['Callie Calls'],"9C, 7C, AC, 9S, AD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",1
2,212,['Cody'],['Robbie Random'],"KS, 7H, JC, AD, KD","{'Cody': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Madi': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",2
3,422,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","7D, 9C, 9H, JS, 8D","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Madi': Hand([Card(""7"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds"")])}",3
4,6,['Madi'],['Callie Calls'],"3S, 3C, JD, JH, KH","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts"")])}",4
5,173,['Cody'],['Robbie Random'],"5C, KS, 5D, 8D, 8C","{'Cody': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"9S, QH, AD, 10D, 9H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts"")])}",6
7,6,['Madi'],['Callie Calls'],"9C, QS, QH, 2D, QD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"QS, 9H, 8S, 8C, 7S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Spades"")])}",8
9,4,['Madi'],['Callie Calls'],"7D, 8D, QC, KH, KS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")])}",9
10,4,['Madi'],['Callie Calls'],"2D, 4S, 4D, 2S, AS","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"9C, 2H, 8C, 9S, 2D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""2"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""2"", ""Diamonds"")])}",11
12,434,['Madi'],['Callie Calls'],"6H, 7C, 5D, JS, 6D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds"")])}",12
13,48,['Cody'],['Robbie Random'],"KS, AS, 5S, 7S, 8S","{'Cody': Hand([Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"10H, AH, JH, 10D, JS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",14
15,54,['Madi'],['Callie Calls'],"4C, JD, 4H, 4S, 9H","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Hearts"")])}",15
