,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,687,['Sophia'],['Callie Calls'],"QD, 10C, 7D, 10H, 7C","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs"")]), 'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs"")])}",0
1,20,['Sophia'],['Callie Calls'],"5H, 3C, JC, 3S, 7S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs""), Card(""3"", ""Spades""), Card(""7"", ""Spades"")])}",1
2,3,['Sophia'],['Callie Calls'],"JS, 5D, QS, JH, 9D","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")])}",2
3,3,['Sophia'],['Callie Calls'],"AD, QS, 2C, KD, 2D","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"AH, QS, 8H, AC, 8S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"10S, QC, QS, 8S, 8D","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"4H, 8C, 7D, 6D, 5S","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"9C, 9S, 8D, JS, 8C","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"JD, 6D, JH, 6S, 10H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""10"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"6C, 2C, 9C, 2S, 9S","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Clubs""), Card(""2"", ""Spades""), Card(""9"", ""Spades"")])}",9
