,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,532,['Sophia'],['Callie Calls'],"KD, KC, 2H, KH, 2D","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds"")])}",0
1,196,['Sophia'],['Callie Calls'],"QC, 6D, AS, 6C, QS","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades"")])}",1
2,63,['Sophia'],['Callie Calls'],"10H, 8C, 10S, 7H, 7D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds"")])}",2
3,6,['Sophia'],['Callie Calls'],"9S, 7C, 10S, 8S, 6H","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"KD, AS, KS, 10S, 7C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"8C, KH, 2D, JS, 2C","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades""), Card(""2"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"JC, JS, AD, QD, KC","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"10S, AD, QD, KS, JH","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"3C, 3D, AH, 9H, 9S","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"6S, 2H, 6H, QH, 2C","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""2"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"4D, 8H, JS, 4H, QD","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"JD, KS, AD, 9S, QH","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"QH, QC, JS, 6D, 7H","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"5D, 7H, 10C, AS, KH","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Hearts"")])}",13
