,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,430,['Sophia'],['Callie Calls'],"KC, 9C, QS, 9S, KD","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Diamonds"")])}",0
1,222,['Madi'],['Callie Calls'],"QH, 9C, KC, JS, 10D","{'Cody': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")])}",1
2,42,['Sophia'],['Callie Calls'],"AC, JC, 10H, KC, AS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")])}",2
3,148,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","6S, 5S, QC, 5C, 6D","{'Madi': Hand([Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds"")])}",3
4,6,['Madi'],['Callie Calls'],"10H, AD, 9D, 8H, 8C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs"")])}",4
5,7,['Madi'],['Callie Calls'],"QS, 6S, 6C, 10D, QH","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts"")])}",5
6,4,['Sophia'],['Callie Calls'],"10D, KD, JS, QC, AS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"7D, 7S, AH, AD, KC","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,5,['Madi'],['Callie Calls'],"JS, 8H, 8S, JC, AD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"7H, 5H, 10H, 9H, JH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,6,['Sophia'],['Callie Calls'],"9H, KD, 10D, QC, JC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs"")])}",10
11,10,['Sophia'],['Callie Calls'],"JH, KH, 10D, QS, JD","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",11
12,8,['Madi'],['Callie Calls'],"4S, 8D, 10H, 8H, 4C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Hearts"")])}",12
13,12,['Madi'],['Callie Calls'],"QH, JS, 9C, 8H, 10D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",13
14,10,['Madi'],['Callie Calls'],"KS, 6S, 6H, QD, JC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs"")])}",14
15,8,['Madi'],['Callie Calls'],"QS, JD, 6H, JC, KC","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")])}",15
16,12,['Sophia'],['Callie Calls'],"JS, 8C, 9H, QH, QD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",16
17,10,['Sophia'],['Callie Calls'],"AD, 4S, 4D, 7H, 7C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs"")])}",17
18,8,['Madi'],['Callie Calls'],"8S, KH, 8H, 10D, JH","{'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")])}",18
19,12,['Madi'],['Callie Calls'],"4D, 2H, 4S, 2C, AH","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""4"", ""Spades""), Card(""2"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""4"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Hearts"")])}",19
20,10,['Madi'],['Callie Calls'],"7S, 7C, 4D, KD, KH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts"")])}",20
21,16,['Sophia'],['Callie Calls'],"KS, 10S, KD, 10D, 8H","{'Madi': Hand([Card(""2"", ""Spades""), Card(""3"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts"")])}",21
22,24,['Sophia'],['Callie Calls'],"4D, QC, 4C, 5S, 5D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds"")])}",22
23,20,['Sophia'],['Callie Calls'],"AC, 6S, JH, JC, 9S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Spades"")])}",23
24,16,['Madi'],['Callie Calls'],"7C, 5H, 7D, 7S, 5S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""5"", ""Spades"")])}",24
25,24,['Madi'],['Callie Calls'],"2H, KH, 2D, 10D, KD","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds"")])}",25
26,20,['Madi'],['Callie Calls'],"AD, 6C, 6H, 9C, 8D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds"")])}",26
27,16,['Sophia'],['Callie Calls'],"KC, 7S, 7D, 2C, 2D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds"")])}",27
28,24,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JC, 4S, QS, 10H, 4H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""4"", ""Hearts"")])}",28
29,20,['Madi'],['Callie Calls'],"6H, AH, 6D, 5H, 5S","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades"")])}",29
30,16,['Madi'],['Callie Calls'],"AC, AS, 7D, KC, QD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",30
31,48,['Sophia'],['Callie Calls'],"QC, QS, AC, 5D, QH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",31
32,40,['Sophia'],['Callie Calls'],"10D, 9C, 7H, 7S, KC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Clubs"")])}",32
33,32,['Madi'],['Callie Calls'],"QS, KH, 10H, JS, AS","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades"")])}",33
34,32,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","7S, 6H, 5D, 8S, 4S","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Spades""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades"")])}",34
35,32,['Sophia'],['Callie Calls'],"JS, 8S, 7C, JH, 9S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Spades"")])}",35
36,32,['Madi'],['Callie Calls'],"KS, 10S, 9D, KD, 4C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs"")])}",36
37,32,['Sophia'],['Callie Calls'],"2H, AC, KS, 2D, KC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Clubs"")])}",37
38,32,['Sophia'],['Callie Calls'],"6C, JC, QC, 10C, 7C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs"")])}",38
39,32,['Madi'],['Callie Calls'],"AC, KD, QH, JH, KC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")])}",39
40,32,['Madi'],['Callie Calls'],"7D, 7C, KS, 5D, QD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",40
41,64,['Madi'],['Callie Calls'],"QS, 9C, 10S, KH, JH","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts"")])}",41
42,64,['Madi'],['Callie Calls'],"JH, AS, 7D, 7S, KH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Hearts"")])}",42
43,64,['Madi'],['Callie Calls'],"10H, 3C, 3H, 10D, 8H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts"")])}",43
