,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,560,['Madi'],['Callie Calls'],"6D, 9C, 10S, QC, 6C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs"")])}",0
1,197,['Madi'],['Callie Calls'],"9C, 9S, AD, QS, 6D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds"")])}",1
2,43,['Madi'],['Callie Calls'],"9D, QS, KH, 6H, 4H","{'Cody': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""4"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"4D, JC, 7C, 9C, 7D","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"QC, AH, 8D, 7S, 9D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"AC, 5H, 10D, AH, 5S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""5"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"8C, 5S, 9S, QH, 5H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"7C, KH, 3H, JS, 3C","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"AC, JD, 9S, KH, 8S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"AC, 7C, QC, JC, 6C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")])}",9
