,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,686,['Madi'],['Callie Calls'],"10D, 4H, 4C, JH, 8C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Steve': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Clubs"")])}",0
1,31,['Madi'],['Callie Calls'],"8H, 5S, 8C, 5H, QS","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades"")])}",1
2,3,['Madi'],['Callie Calls'],"4C, 5H, 9D, 8C, QH","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"10S, KH, AH, AS, 10H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"4C, 10H, QH, 4S, KS","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"AC, QC, KC, 9D, 6H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"JC, 4H, KH, 10C, KS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"6S, 5C, KC, 6D, KD","{'Madi': Hand([Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"9D, 2S, AD, 2H, 6C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""6"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"AS, 6S, 9D, 6C, QS","{'Madi': Hand([Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades"")])}",9
