,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,527,['Madi'],['Callie Calls'],"JH, QS, 8C, 7H, JD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Steve': Hand([Card(""4"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Clubs"")])}",0
1,57,['Madi'],['Callie Calls'],"6C, QC, KC, 6H, KH","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts"")])}",1
2,45,['Madi'],['Callie Calls'],"JH, 9D, 5H, JD, JC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Michelle': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs"")])}",2
3,13,['Madi'],['Callie Calls'],"JC, 9D, 6D, 9H, 5S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""5"", ""Spades"")])}",3
4,8,['Madi'],['Callie Calls'],"KC, 8S, KD, 10D, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"JD, AH, 10D, 10C, 7H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts"")])}",5
6,96,['Madi'],['Callie Calls'],"10S, 3H, 3D, 8C, 10D","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""10"", ""Spades""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds"")])}",6
7,62,['Madi'],['Callie Calls'],"JS, QD, 8S, 9D, KC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,5,['Madi'],['Callie Calls'],"10H, 7D, AS, 5S, 9H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Hearts"")])}",8
9,10,['Madi'],['Callie Calls'],"AS, JS, JD, 3D, 3C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"AS, 10C, 3C, JC, 3D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs""), Card(""3"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"10H, 9D, 9H, QD, 10C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"KH, 2S, QC, JD, 2H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"KS, 10C, 7D, 8H, 8D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"KC, QD, 5H, KS, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"10C, 9D, 10D, JH, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"KC, 10S, 7S, QS, 9H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"KC, 4H, 10S, 4D, 10C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds""), Card(""10"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"7H, AC, KS, JH, 9H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"QD, AS, 9C, 9S, AD","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"8S, QC, AC, 8H, 9S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"5C, KS, 5H, 5S, 6D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"7H, 7S, AS, 7C, JH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"QH, AH, 4H, 10D, 4S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""4"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"9H, 9D, JH, 6D, KC","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"JD, 6H, 9H, 10H, 8H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts"")])}",25
26,12,['Madi'],['Callie Calls'],"10D, 9H, 6H, 7S, 8S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Spades"")])}",26
27,12,['Madi'],['Callie Calls'],"3S, QC, 3C, KH, KC","{'Madi': Hand([Card(""3"", ""Spades""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"KC, JH, 9C, 9H, 10S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Spades"")])}",28
29,12,['Madi'],['Callie Calls'],"2C, 2S, 10S, 9S, AH","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")])}",29
