,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,513,['Sophia'],['Callie Calls'],"AC, 6C, KH, JC, 6S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades"")])}",0
1,84,['Sophia'],['Callie Calls'],"QC, 8C, KC, 9S, JD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds"")])}",1
2,121,['Sophia'],['Callie Calls'],"9C, JC, KC, 10H, KD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds"")])}",2
3,92,"['Steve', 'Sophia']","['Robbie Random', 'Callie Calls']","10H, 4C, KC, 4D, JS","{'Steve': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""J"", ""Spades"")])}",3
4,35,['Sophia'],['Callie Calls'],"QC, 2H, 10D, 2C, 8D","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""8"", ""Diamonds"")])}",4
5,8,['Sophia'],['Callie Calls'],"9C, KH, QH, 3C, 3S","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Spades"")])}",5
6,7,['Sophia'],['Callie Calls'],"8S, 10S, JS, KS, 3S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"7C, 3S, 3H, QD, 7S","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades"")])}",7
8,4,['Sophia'],['Callie Calls'],"KC, 10S, 10H, JH, QC","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")])}",8
9,39,['Sophia'],['Callie Calls'],"7S, 9H, 4C, KH, 8H","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",9
10,4,['Sophia'],['Callie Calls'],"5D, KD, QC, 9D, 10D","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",10
