,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,410,['Madi'],['Callie Calls'],"9H, 7C, 7D, 9D, 7S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades"")])}",0
1,358,['Madi'],['Callie Calls'],"KS, QH, QD, 3S, 3H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Hearts"")])}",1
2,43,['Madi'],['Callie Calls'],"2S, 9H, 2C, JD, QC","{'Madi': Hand([Card(""2"", ""Spades""), Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",2
3,10,['Madi'],['Callie Calls'],"7S, JH, 10H, 6D, JD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"AD, QS, AH, 6C, 6S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"KH, 10C, QD, AS, KD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"9H, 8S, 9C, 6H, 6S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AS, 6H, KS, 9S, 9C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"5S, 6S, 3C, 7H, 4C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""6"", ""Spades""), Card(""3"", ""Clubs""), Card(""7"", ""Hearts""), Card(""4"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"QH, KC, QS, JH, JS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")])}",9
