,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,369,['Sophia'],['Callie Calls'],"4H, 10H, QH, 8H, 9H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""2"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts"")])}",0
1,361,['Sophia'],['Callie Calls'],"8D, 10C, QS, 8S, 10D","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds"")])}",1
2,66,['Steve'],['Robbie Random'],"8C, AH, KD, 8S, AS","{'Steve': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")])}",2
3,10,['Sophia'],['Callie Calls'],"QH, AC, 7H, KS, 8H","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Hearts"")])}",3
4,98,['Sophia'],['Callie Calls'],"JS, 6S, 7S, 6C, QD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",4
5,7,['Sophia'],['Callie Calls'],"AH, JC, QD, 7H, 9H","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts"")])}",5
6,26,['Sophia'],['Callie Calls'],"7H, 8D, QC, 10H, 6S","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"AS, AC, AH, KS, 2C","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""2"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"QD, 9C, KH, AD, AS","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"9C, JC, 10D, 10H, JS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"8D, 10D, AC, AH, 10C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"8S, 6C, 8C, JS, 6S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"4C, 6H, 4S, 9H, KS","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""6"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"KC, 9D, 7C, QS, 7D","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"7H, JH, QH, 5H, AD","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"4D, 7S, 6H, 5C, 3D","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs""), Card(""3"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"9S, QD, KC, QS, JS","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"JH, QD, KC, QC, JD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"9D, 9C, JD, 5C, AH","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"9S, JH, 10D, 9C, QD","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"9D, 8D, 7S, KH, KD","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"QS, 4D, 8S, KC, 4H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"3H, 3D, QH, 3S, 10S","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""3"", ""Spades""), Card(""10"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"KH, 2H, 2C, KS, JC","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Clubs"")])}",23
24,12,['Sophia'],['Callie Calls'],"JC, KH, 8H, AD, 9S","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades"")])}",24
25,12,['Sophia'],['Callie Calls'],"10D, KH, 10H, 8S, 4D","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Diamonds"")])}",25
26,12,['Sophia'],['Callie Calls'],"KC, 8D, AH, 8C, 6C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""6"", ""Clubs"")])}",26
27,12,['Sophia'],['Callie Calls'],"8D, 5C, 2H, 2S, QS","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"AD, KS, QS, AS, 9D","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds"")])}",28
29,12,['Sophia'],['Callie Calls'],"9S, KH, 10S, 8H, AS","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Spades"")])}",29
