,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,448,['Michelle'],['Robbie Random'],"AH, KH, 2C, JD, 2H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Michelle': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Hearts"")])}",0
1,87,['Madi'],['Callie Calls'],"QS, QH, AH, 9D, 9C","{'Cody': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",1
2,112,['Madi'],['Callie Calls'],"AC, 9S, QH, 10D, QC","{'Cody': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",2
3,605,['Madi'],['Callie Calls'],"JC, 10S, 4D, 9D, AS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades"")])}",3
4,183,['Madi'],['Callie Calls'],"3D, 9D, QH, 3H, JH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts""), Card(""J"", ""Hearts"")])}",4
5,12,['Madi'],['Callie Calls'],"AS, 10C, 8S, 6C, 6D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"6C, 9H, 2C, 6D, 2H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""2"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"KC, JS, 10C, 4C, 4S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"QD, AD, 9S, 10H, QS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"3H, 9H, 7H, AH, JH","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"JD, KH, QS, 9H, QC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"JH, 2H, KD, KC, 2D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""2"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"7S, 9D, 10H, 6C, KC","{'Madi': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"8D, AS, KH, 6H, QH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"JD, KH, JH, 6S, 6H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"9C, JC, QS, KH, KD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"4S, 10H, 4H, 9H, KS","{'Madi': Hand([Card(""4"", ""Spades""), Card(""10"", ""Hearts""), Card(""4"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")])}",16
