,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,381,['Steve'],['Robbie Random'],"JS, QH, QS, QD, JH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")])}",0
1,342,['Michelle'],['Robbie Random'],"QD, 8H, 9S, QH, AC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",1
2,289,['Michelle'],['Robbie Random'],"3H, AH, 5H, 9H, 8H","{'Michelle': Hand([Card(""3"", ""Hearts""), Card(""A"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts"")])}",2
3,6,['Beezie'],['Ricky Raise'],"AD, QC, AC, KC, 10H","{'Beezie': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",3
4,463,['Steve'],['Robbie Random'],"QH, QD, 2S, 10D, 2C","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds""), Card(""2"", ""Clubs"")])}",4
5,10,['Steve'],['Robbie Random'],"AS, 8S, JC, JS, 8C","{'Steve': Hand([Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")])}",5
6,561,['Michelle'],['Robbie Random'],"9D, JH, JS, QH, QS","{'Michelle': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades"")])}",6
7,573,['Steve'],['Robbie Random'],"JD, 9D, 9S, AH, 5H","{'Steve': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Hearts"")])}",7
8,4,['Steve'],['Robbie Random'],"6S, 8C, QC, KD, JS","{'Steve': Hand([Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades"")])}",8
9,80,['Michelle'],['Robbie Random'],"6D, 10S, QS, JS, 8S","{'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Spades"")])}",9
10,3,['Bob'],['Floyd Folds'],"8H, 10S, 9S, AC, AD","{'Bob': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds"")])}",10
11,555,['Steve'],['Robbie Random'],"6C, 6H, KS, 6D, 4D","{'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",11
12,6,['Bob'],['Floyd Folds'],"KH, KS, 4H, AC, 4S","{'Bob': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Spades"")])}",12
13,6,['Steve'],['Robbie Random'],"KD, JC, JS, JH, 6S","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",13
14,360,['Steve'],['Robbie Random'],"KC, 10D, 6S, 6H, 8H","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts"")])}",14
15,6,['Steve'],['Robbie Random'],"7C, JS, QH, 6D, 5S","{'Steve': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades"")])}",15
16,6,['Steve'],['Robbie Random'],"KD, 2S, KS, QH, 2D","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""2"", ""Diamonds"")])}",16
17,6,['Steve'],['Robbie Random'],"JC, AD, 5C, KS, AC","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Clubs"")])}",17
18,6,['Steve'],['Robbie Random'],"QH, AS, 9D, 8S, 7C","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Clubs"")])}",18
19,6,['Steve'],['Robbie Random'],"9S, 6H, 8S, 4D, 8D","{'Steve': Hand([Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",19
20,6,['Bob'],['Floyd Folds'],"7C, 9D, JC, 6D, 6H","{'Bob': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts"")])}",20
21,12,['Steve'],['Robbie Random'],"JC, KH, 7S, 7H, AS","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Spades"")])}",21
22,12,['Steve'],['Robbie Random'],"2H, 8H, 10H, AH, JH","{'Steve': Hand([Card(""2"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",22
23,12,['Steve'],['Robbie Random'],"QS, 9H, 5D, KD, 9C","{'Steve': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs"")])}",23
24,12,['Steve'],['Robbie Random'],"6D, QD, QH, JH, 6H","{'Steve': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Hearts"")])}",24
25,12,['Steve'],['Robbie Random'],"8D, QH, JH, 9S, AS","{'Steve': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")])}",25
26,12,['Steve'],['Robbie Random'],"3D, JC, QD, 3H, KD","{'Steve': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""K"", ""Diamonds"")])}",26
27,12,['Steve'],['Robbie Random'],"2H, 4H, 3H, KH, 10H","{'Steve': Hand([Card(""2"", ""Hearts""), Card(""4"", ""Hearts""), Card(""3"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts"")])}",27
28,12,['Steve'],['Robbie Random'],"KS, JH, AS, 7D, JS","{'Steve': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades"")])}",28
29,12,['Steve'],['Robbie Random'],"10C, 5C, 5S, AD, AS","{'Steve': Hand([Card(""10"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",29
30,12,['Steve'],['Robbie Random'],"6S, QD, 9S, 6D, JC","{'Steve': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs"")])}",30
31,24,['Steve'],['Robbie Random'],"JD, KS, 7C, QS, AD","{'Steve': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",31
