,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,495,['Madi'],['Callie Calls'],"AS, 5S, QC, 5D, KS","{'Madi': Hand([Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Michelle': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades"")])}",0
1,279,['Madi'],['Callie Calls'],"KH, 10C, JD, 10H, JH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts"")])}",1
2,26,['Madi'],['Callie Calls'],"JD, AC, KD, 10C, QH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Hearts"")])}",2
3,20,['Madi'],['Callie Calls'],"6S, 5S, KD, JD, 10S","{'Madi': Hand([Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"5C, JD, 9H, 5D, 10H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""10"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"KS, QD, 9C, 7H, 9S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"QD, QC, AH, 10D, 10H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"KH, 2D, 2C, 10D, KS","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"6S, 6C, QS, KH, 10C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"AS, QH, 9D, AH, KH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"9C, QC, QS, JS, 6H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"KH, 5C, 9D, 5S, 9C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"8H, 8S, 6C, AC, 6H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"8C, 10C, 10S, 4S, 4D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"5D, 4D, 4H, 5H, QS","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"8S, 7S, 9D, JC, 8H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"9S, 10H, 8C, QH, AD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"JH, AS, 2C, 2S, KC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""K"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"10D, JS, JH, QD, 10H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"5C, 5S, 7C, 3S, 5H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""7"", ""Clubs""), Card(""3"", ""Spades""), Card(""5"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"4H, KS, 4S, 4C, 10S","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""10"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"10C, 7H, 10D, 7S, 8H","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"6C, 5S, 4H, 7D, 3D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"7C, QD, 7H, 10H, 9S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"7C, 10S, QD, 8S, KC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"AS, 8D, QD, KC, 8C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")])}",25
