,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,430,['Michelle'],['Robbie Random'],"8H, 10H, 7S, 6H, 9H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Michelle': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Hearts"")])}",0
1,668,['Cody'],['Robbie Random'],"6S, QC, 6D, AS, QS","{'Cody': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Spades"")])}",1
2,62,['Cody'],['Robbie Random'],"7S, KD, 6C, 10S, 9D","{'Cody': Hand([Card(""7"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",2
3,3,['Cody'],['Robbie Random'],"8H, 6S, 9H, JH, 6C","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs"")])}",3
4,3,['Cody'],['Robbie Random'],"4S, 4C, 8C, KH, AS","{'Cody': Hand([Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",4
5,608,['Cody'],['Robbie Random'],"JC, 6H, 8H, 7D, 6S","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades"")])}",5
6,81,['Cody'],['Robbie Random'],"AC, 8H, KD, KH, AS","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",6
7,3,['Cody'],['Robbie Random'],"10C, QH, 9H, QS, 9C","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs"")])}",7
8,3,['Cody'],['Robbie Random'],"JS, 4S, AH, JH, QS","{'Cody': Hand([Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",8
9,3,['Cody'],['Robbie Random'],"2C, 10C, 2H, 10D, 10H","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",9
10,3,['Cody'],['Robbie Random'],"8C, 10H, 8D, QC, 6H","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Hearts"")])}",10
11,6,['Cody'],['Robbie Random'],"9H, QC, 10C, 10S, 9D","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",11
12,90,['Cody'],['Robbie Random'],"KD, JH, 8D, 5D, JD","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",12
