,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,564,['Madi'],['Callie Calls'],"JH, 9S, 7D, 8S, 10S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Spades"")])}",0
1,97,['Madi'],['Callie Calls'],"10H, 9S, JS, 8S, QS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""Q"", ""Spades"")])}",1
2,63,['Madi'],['Callie Calls'],"QH, 6S, 5H, 9S, KC","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Clubs"")])}",2
3,24,['Madi'],['Callie Calls'],"7C, AC, 6D, 8H, 8C","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",3
4,20,['Madi'],['Callie Calls'],"7H, QH, 9S, AS, 7D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds"")])}",4
5,7,['Steve'],['Robbie Random'],"10S, 3S, 5S, JS, 6S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""3"", ""Spades""), Card(""5"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Spades"")])}",5
6,53,['Madi'],['Callie Calls'],"QS, 7S, 7H, 10S, 9C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"QS, JC, 8H, KC, KS","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"8D, JC, 9D, 7H, 10H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"9C, KD, JH, 10S, 8S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"6C, 8H, KD, 3C, 3D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"9C, JS, KH, 7C, 7H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"AH, 7D, AS, 7S, KC","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"QS, QC, 4D, 6H, 4S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"JD, KH, 9S, KC, 10S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"10C, 6C, 6D, 10S, 8S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Spades"")])}",15
