,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,484,['Madi'],['Callie Calls'],"6H, QD, QS, 6C, QH","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Steve': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts"")])}",0
1,302,['Michelle'],['Robbie Random'],"QS, 4C, AC, 4D, QH","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",1
2,23,['Cody'],['Robbie Random'],"KS, 8H, JD, KD, 10D","{'Cody': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",2
3,33,['Madi'],['Callie Calls'],"JH, 5H, 9D, 2H, 2S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Spades"")])}",3
4,20,['Madi'],['Callie Calls'],"8S, 7C, 8H, AD, 7S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"9D, JS, 10H, JD, 10C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")])}",5
6,4,['Madi'],['Callie Calls'],"3D, KH, 3C, 9D, 10D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""3"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",6
7,538,['Michelle'],['Robbie Random'],"7H, 9C, 7C, QD, 9S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Michelle': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades"")])}",7
8,301,['Madi'],['Callie Calls'],"AC, 3C, AS, QH, 3S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""3"", ""Spades"")])}",8
9,4,['Madi'],['Callie Calls'],"4S, QS, 9D, AH, JS","{'Madi': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")])}",9
10,522,['Michelle'],['Robbie Random'],"AC, QS, KC, AH, 8S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"JS, 9H, KD, AD, 10S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades"")])}",11
