,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,519,['Sophia'],['Callie Calls'],"7D, AD, 2S, 7S, 2D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Michelle': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""2"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Steve': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""2"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Diamonds"")])}",0
1,105,['Madi'],['Callie Calls'],"JS, KC, KD, JC, QH","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""2"", ""Spades"")])}",1
2,209,['Madi'],['Callie Calls'],"4S, 7S, QS, 5S, 6S","{'Cody': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""4"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",2
3,21,['Sophia'],['Callie Calls'],"JD, AH, JC, AC, JS","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",3
4,13,['Madi'],['Callie Calls'],"QC, 9C, 10S, AS, QH","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts"")])}",4
5,17,['Sophia'],['Callie Calls'],"3C, KC, 10D, 3D, 8D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",5
6,5,['Madi'],['Callie Calls'],"7S, 2D, 9D, 2S, 7H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""2"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Hearts"")])}",6
7,4,['Madi'],['Callie Calls'],"10S, 2S, 5S, KS, 9S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""2"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Spades"")])}",7
8,6,['Sophia'],['Callie Calls'],"4D, 6C, 6D, 4C, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""K"", ""Hearts"")])}",8
9,5,['Sophia'],['Callie Calls'],"2H, 7S, AD, 9H, 2C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""2"", ""Clubs"")])}",9
