,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,530,['Sophia'],['Callie Calls'],"AH, 3S, JC, 3D, QH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",0
1,132,['Sophia'],['Callie Calls'],"6S, QH, 9S, 8D, AD","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",1
2,39,['Sophia'],['Callie Calls'],"4H, AD, KC, 4D, AC","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs"")])}",2
3,8,['Sophia'],['Callie Calls'],"QD, QS, 3H, 3D, QH","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",3
4,95,['Sophia'],['Callie Calls'],"9C, JH, 7H, 9H, 8S","{'Michelle': Hand([Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Spades"")])}",4
5,10,['Sophia'],['Callie Calls'],"8H, 6S, KD, 6D, KS","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades"")])}",5
6,6,['Michelle'],['Robbie Random'],"9D, 2D, AC, 2C, JS","{'Michelle': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",6
7,11,['Sophia'],['Callie Calls'],"AC, QS, 10S, 10D, 9H","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"2H, AD, 8C, 9C, 2D","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""2"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"AC, 6C, 8C, 5D, AD","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"5D, KD, AC, KC, 5H","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"KC, KD, 8S, 9D, QC","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"8S, 7H, 10S, QS, KH","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"QS, KH, QH, 3S, QC","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""3"", ""Spades""), Card(""Q"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"KH, AC, 10D, 8D, QD","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"AD, 7S, KH, KD, 5C","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"JC, AC, AD, 3S, 3C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"9H, AC, 10C, JC, AD","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"AH, JC, AC, 10H, 8D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"AS, KC, 7D, 8D, AH","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"7S, QC, 3H, 3S, JS","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"8H, JS, 10C, 8C, KD","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds"")])}",21
22,12,['Sophia'],['Callie Calls'],"10D, QS, KS, 9H, JH","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"3C, 10D, 3S, 8C, QD","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",23
24,12,['Sophia'],['Callie Calls'],"2D, 2S, 7S, QS, AH","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts"")])}",24
25,12,['Sophia'],['Callie Calls'],"8D, QD, 7D, 3D, 9D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",25
26,12,['Sophia'],['Callie Calls'],"JH, 7H, 10C, 10D, 9H","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts"")])}",26
27,12,['Sophia'],['Callie Calls'],"2H, 10D, 2S, 9D, 9S","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"7H, 6H, 5D, 10D, 8D","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",28
29,12,['Sophia'],['Callie Calls'],"AD, 10C, 6S, KD, QS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")])}",29
