,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,478,['Madi'],['Callie Calls'],"AD, 6C, 6S, 9D, 9C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",0
1,264,['Sophia'],['Callie Calls'],"KH, 5H, 8H, 4H, AH","{'Cody': Hand([Card(""3"", ""Hearts""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""A"", ""Hearts"")])}",1
2,69,['Sophia'],['Callie Calls'],"9C, 8H, 8D, 2H, 2C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs"")])}",2
3,39,['Madi'],['Callie Calls'],"KS, 9C, KH, 8H, 10H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts"")])}",3
4,11,['Sophia'],['Callie Calls'],"7H, 3D, 6H, 4S, 5S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Spades""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Spades""), Card(""5"", ""Spades"")])}",4
5,5,['Sophia'],['Callie Calls'],"JD, QD, KH, KC, 10S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Spades"")])}",5
6,4,['Sophia'],['Callie Calls'],"7H, AH, AD, 8D, 9S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades"")])}",6
7,6,['Sophia'],['Callie Calls'],"QH, 4H, 4C, 5S, 5C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"AC, QH, QC, 9H, 9C","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")])}",8
9,4,['Sophia'],['Callie Calls'],"AH, 9D, KS, 10S, 10H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Hearts"")])}",9
