,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,453,['Sophia'],['Callie Calls'],"JC, AD, KC, JS, AS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades"")])}",0
1,177,['Sophia'],['Callie Calls'],"6C, 6D, JD, 8D, JC","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs"")])}",1
2,133,['Sophia'],['Callie Calls'],"JH, AC, QH, 8S, 8D","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",2
3,34,['Sophia'],['Callie Calls'],"JC, 10H, 9D, 5S, 5H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"10C, KH, JH, 9H, KS","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"10C, 9C, AS, JD, KD","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"2C, JD, KC, 9S, 2D","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""2"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"8S, KS, 8D, QH, 9D","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"JD, 8S, AC, KS, QC","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"KC, 3H, 4C, 3S, 4S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""4"", ""Clubs""), Card(""3"", ""Spades""), Card(""4"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"QH, AS, 7H, QS, 7C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"AC, JC, 8S, 10C, 5S","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"KC, QD, AS, 10C, QH","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"AC, AS, 7H, 7C, QS","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"10S, 6C, 9C, 7H, 8C","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"10H, AD, 8D, 8C, 10D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"QH, 5C, 5D, QS, AD","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"9H, 7S, 6D, JC, KD","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"KH, 2D, QS, 2C, QC","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""2"", ""Clubs""), Card(""Q"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"AD, AC, KS, KH, QS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"6S, 7S, QD, AC, JC","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"JS, 9C, KC, 5H, 5S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")])}",21
22,12,['Sophia'],['Callie Calls'],"5C, 6C, 7D, 3H, 4C","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""4"", ""Clubs"")])}",22
23,12,['Sophia'],['Callie Calls'],"4H, QS, 4C, 8D, QD","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",23
24,12,['Sophia'],['Callie Calls'],"JS, 5C, 2H, 2D, 5D","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""5"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",24
25,12,['Sophia'],['Callie Calls'],"AC, 5S, 6H, 10S, 9D","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",25
26,12,['Sophia'],['Callie Calls'],"KD, 10D, AH, 9C, QS","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades"")])}",26
27,12,['Sophia'],['Callie Calls'],"AH, 8H, KS, JD, 8D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",27
28,12,['Sophia'],['Callie Calls'],"AS, QC, 2C, 2H, KS","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""K"", ""Spades"")])}",28
29,12,['Sophia'],['Callie Calls'],"AC, KC, 9C, 10S, AH","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Hearts"")])}",29
