,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,393,['Madi'],['Callie Calls'],"8D, 4S, 4C, JH, 8H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts"")])}",0
1,296,['Madi'],['Callie Calls'],"QH, JH, QS, AC, 8C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""3"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs"")])}",1
2,27,['Madi'],['Callie Calls'],"10D, 3H, 3S, JH, KD","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds"")])}",2
3,104,['Madi'],['Callie Calls'],"QH, 8H, KH, 9C, 7S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Spades"")]), 'Michelle': Hand([Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Spades"")])}",3
4,10,['Madi'],['Callie Calls'],"6C, 6D, AS, JC, AC","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"KH, 4C, 5S, 4S, 5H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Spades""), Card(""5"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"5H, 2D, 5S, 2H, AS","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""5"", ""Spades""), Card(""2"", ""Hearts""), Card(""A"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"2S, AC, 2H, 10D, QD","{'Madi': Hand([Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"9C, AH, 8S, 8D, 10S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"2S, JC, QS, 10H, 2D","{'Madi': Hand([Card(""2"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""2"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"8H, 8D, 7D, KD, QH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"JD, 7H, 7C, 10S, 7D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"JS, 5H, QS, 5C, KS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"AH, 4H, AC, KC, 4C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"4C, 7C, 4D, KH, QC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"KH, KC, 8D, 8C, 9H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",15
