,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,673,['Sophia'],['Callie Calls'],"3D, 5C, 5H, 3S, 5S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades"")]), 'Michelle': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""5"", ""Spades"")])}",0
1,45,['Sophia'],['Callie Calls'],"7D, QD, 10D, QS, 9H","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts"")])}",1
2,8,['Sophia'],['Callie Calls'],"5S, 10S, AS, 8S, 9S","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Spades"")])}",2
3,3,['Sophia'],['Callie Calls'],"8S, 5D, KC, KH, 8H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"10H, 9D, 8H, 7C, 6H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"10C, KH, 10H, 9S, AD","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"10C, KC, KH, 10S, 8D","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"JH, 6C, AH, 9H, QD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"AD, QD, 9S, JS, JC","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"10S, AD, AH, 9S, 7C","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"9H, 2D, KC, 2C, 2H","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"AC, 8D, 10C, 9S, AS","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"10H, QS, 7S, AS, 9H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"KS, 10D, 8H, 6S, 6D","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",13
