,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,290,['Sophia'],['Callie Calls'],"9D, 9C, 9S, 2S, AD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""2"", ""Spades""), Card(""A"", ""Diamonds"")])}",0
1,282,['Madi'],['Callie Calls'],"4H, 2H, 10H, 6H, 7H","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,302,['Madi'],['Callie Calls'],"KD, JH, 7D, 7H, KS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")]), 'Michelle': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")])}",2
3,21,['Madi'],['Callie Calls'],"AD, 2H, 4C, 3H, 5S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""4"", ""Clubs""), Card(""3"", ""Hearts""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""5"", ""Spades"")])}",3
4,7,['Sophia'],['Callie Calls'],"2C, 3S, 5H, AC, 4H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""3"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts"")])}",4
5,102,['Sophia'],['Callie Calls'],"7S, 10H, 9H, QH, 7H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")])}",5
6,8,['Madi'],['Callie Calls'],"8S, 7D, QS, QD, 8C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts"")])}",6
7,15,['Madi'],['Callie Calls'],"QC, AS, QH, QD, 5H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Hearts"")])}",7
8,33,['Sophia'],['Callie Calls'],"8H, 7C, 8C, AS, AH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Hearts"")])}",8
9,63,['Madi'],['Callie Calls'],"9H, 8C, 8D, 9D, AH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts"")])}",9
10,5,['Madi'],['Callie Calls'],"AS, KS, 6S, 9C, AC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs"")])}",10
11,8,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","3C, 4H, 6H, 5S, 2D","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Diamonds"")])}",11
12,12,['Madi'],['Callie Calls'],"10D, KD, KC, 9D, 9S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades"")])}",12
13,10,['Sophia'],['Callie Calls'],"AD, 10S, 8D, QS, 8H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts"")])}",13
14,8,['Sophia'],['Callie Calls'],"6C, KC, 9C, JS, 6D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds"")])}",14
15,12,['Madi'],['Callie Calls'],"QS, QH, 10C, 2S, 2D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""10"", ""Hearts""), Card(""2"", ""Diamonds"")])}",15
16,10,['Madi'],['Callie Calls'],"4C, 10H, 4D, 10S, 9D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",16
17,8,['Madi'],['Callie Calls'],"8C, 8H, KC, KS, 9D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",17
18,12,['Sophia'],['Callie Calls'],"4C, AC, 2C, 7C, JC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")])}",18
19,10,['Sophia'],['Callie Calls'],"QS, QD, AS, 2D, 2S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",19
20,8,['Madi'],['Callie Calls'],"JC, QC, JD, AC, 9S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades"")])}",20
21,24,['Sophia'],['Callie Calls'],"KH, 8D, AD, 10C, AC","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs"")])}",21
22,20,['Madi'],['Callie Calls'],"AS, AH, JH, 2D, AC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs"")])}",22
23,16,['Sophia'],['Callie Calls'],"QD, JC, 7D, 10H, 10D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds"")])}",23
24,24,['Sophia'],['Callie Calls'],"JC, 2C, JS, 2S, JD","{'Madi': Hand([Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Spades""), Card(""2"", ""Spades""), Card(""J"", ""Diamonds"")])}",24
25,20,['Madi'],['Callie Calls'],"KC, 6D, 10S, 6H, QD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",25
26,16,['Madi'],['Callie Calls'],"5D, 3D, 5H, AD, 3H","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds"")])}",26
27,24,['Madi'],['Callie Calls'],"KS, JH, 9D, KH, JS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")])}",27
