,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,559,['Steve'],['Robbie Random'],"2C, 2S, AC, 5S, 2D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Spades"")]), 'Steve': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Spades"")])}",0
1,36,['Michelle'],['Robbie Random'],"2H, 2S, 2D, 10C, AH","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")])}",1
2,15,['Michelle'],['Robbie Random'],"7S, 5S, 9H, 10C, KS","{'Michelle': Hand([Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")])}",2
3,563,['Michelle'],['Robbie Random'],"5S, QC, JD, 5C, JS","{'Michelle': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""J"", ""Spades"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Hearts"")])}",3
4,421,['Steve'],['Robbie Random'],"6D, QD, 6S, 10C, AH","{'Steve': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")])}",4
5,3,['Bob'],['Floyd Folds'],"KH, 6D, 6C, AS, JC","{'Bob': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Clubs"")])}",5
6,368,['Steve'],['Robbie Random'],"10D, 9C, 8S, QH, 9S","{'Steve': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades"")])}",6
7,286,['Steve'],['Robbie Random'],"KS, KC, JD, 6S, 6D","{'Steve': Hand([Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",7
8,551,['Michelle'],['Robbie Random'],"6H, 7S, 8S, 5D, 4S","{'Michelle': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Spades"")])}",8
9,3,['Michelle'],['Robbie Random'],"2C, 2D, KD, 10C, 10D","{'Michelle': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds"")])}",9
