,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,364,['Sophia'],['Callie Calls'],"9C, 4C, 9D, KH, 4S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""4"", ""Spades"")])}",0
1,136,['Sophia'],['Callie Calls'],"4S, KD, JH, 4C, JS","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Clubs""), Card(""J"", ""Spades"")])}",1
2,72,['Sophia'],['Callie Calls'],"JD, KH, 10C, QD, 5S","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades"")])}",2
3,202,['Sophia'],['Callie Calls'],"3D, QS, 3H, QC, 3C","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs"")])}",3
4,8,['Cody'],['Robbie Random'],"10D, JH, AH, QC, 10S","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades"")])}",4
5,5,['Sophia'],['Callie Calls'],"AH, QS, 9D, 2D, 2S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",5
6,69,['Michelle'],['Robbie Random'],"2D, 5S, AH, 4D, 3S","{'Michelle': Hand([Card(""2"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",6
7,131,['Sophia'],['Callie Calls'],"AC, 6D, AS, 10H, AD","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds"")])}",7
8,5,['Sophia'],['Callie Calls'],"JD, JS, KD, AC, 10C","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs"")])}",8
9,10,['Sophia'],['Callie Calls'],"QD, QS, KD, 4S, 4D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds"")])}",9
