,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,275,['Madi'],['Callie Calls'],"AH, 7C, KD, 8H, 8D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",0
1,363,['Madi'],['Callie Calls'],"7H, QH, 4H, 3H, 5H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""3"", ""Hearts""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs""), Card(""4"", ""Spades"")])}",1
2,119,['Madi'],['Callie Calls'],"9H, 7S, 10H, 5C, 5S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Spades"")])}",2
3,105,['Michelle'],['Robbie Random'],"9H, 8H, 10C, 8D, QS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Spades"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Steve': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades"")])}",3
4,26,['Madi'],['Callie Calls'],"10C, AH, 8S, KD, 7D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"4D, 4S, QH, AD, KC","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs"")])}",5
6,4,['Madi'],['Callie Calls'],"KS, 8H, QS, 10C, QC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"JC, AH, AS, 10S, JD","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds"")])}",7
8,5,['Madi'],['Callie Calls'],"8C, 8D, 10H, 9S, QS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades"")])}",8
9,4,['Madi'],['Callie Calls'],"8D, QH, AC, 2C, 2S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"QS, QD, 10C, 5H, 6H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"2H, AD, 2D, QH, JS","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades"")])}",11
12,8,['Madi'],['Callie Calls'],"9C, QS, 10S, JH, 8S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")])}",12
13,20,['Madi'],['Callie Calls'],"KH, 6S, QD, 6C, QC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs"")])}",13
14,10,['Madi'],['Callie Calls'],"JD, 6H, 6D, 5S, 8S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Spades"")])}",14
15,8,['Madi'],['Callie Calls'],"9H, 7D, KH, 8C, AD","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds"")])}",15
16,56,['Madi'],['Callie Calls'],"9H, 2C, 9D, 2S, KC","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""2"", ""Spades""), Card(""K"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"KS, 10H, JS, 6D, 7H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Hearts"")])}",17
18,20,['Madi'],['Callie Calls'],"KS, 8S, KH, 8D, 8C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"9S, JC, 9D, 7S, AC","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Clubs"")])}",19
20,10,['Madi'],['Callie Calls'],"10H, 4D, 8C, 6D, 9H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts"")])}",20
21,52,['Madi'],['Callie Calls'],"7H, 9S, JH, 9C, KC","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"8S, 6H, 7D, 9S, 10D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"3H, QH, 5D, 5H, 3C","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""3"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"9S, 7S, 9H, 9C, 7D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"KS, KH, 10H, 5C, 8D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""8"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"2S, 3S, 9H, 2H, 3H","{'Madi': Hand([Card(""2"", ""Spades""), Card(""3"", ""Spades""), Card(""9"", ""Hearts""), Card(""2"", ""Hearts""), Card(""3"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"JH, 8H, JC, QH, 9S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"7H, KC, 5D, 7D, 5H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"4S, 4D, QC, KH, QD","{'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",29
30,12,['Madi'],['Callie Calls'],"AC, QS, AH, AD, 4C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Clubs"")])}",30
31,24,['Madi'],['Callie Calls'],"4C, 3S, 4D, 3C, AC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""3"", ""Spades""), Card(""4"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""A"", ""Clubs"")])}",31
