,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Michelle'],['Robbie Random'],"AS, KS, KC, 4H, 4D","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds"")])}",0
1,150,['Steve'],['Robbie Random'],"AS, 7C, KH, JC, 8H","{'Steve': Hand([Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts"")])}",1
2,182,['Steve'],['Robbie Random'],"AS, 5H, 9C, 5C, 9S","{'Steve': Hand([Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Spades"")])}",2
3,565,['Michelle'],['Robbie Random'],"6H, KH, QS, JS, 6D","{'Michelle': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds"")])}",3
4,3,['Michelle'],['Robbie Random'],"QC, 9D, 6D, 5D, 10H","{'Michelle': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""10"", ""Hearts"")])}",4
5,3,['Michelle'],['Robbie Random'],"4S, 4C, AS, 6S, 8D","{'Michelle': Hand([Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds"")])}",5
6,3,['Michelle'],['Robbie Random'],"9D, KS, 8H, 8D, 7C","{'Michelle': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs"")])}",6
7,649,['Michelle'],['Robbie Random'],"8D, QC, 10H, 9D, 6D","{'Michelle': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",7
8,3,['Michelle'],['Robbie Random'],"KS, 6D, JS, QH, AH","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts"")])}",8
9,3,['Bob'],['Floyd Folds'],"9D, 7C, 9S, 7D, 9H","{'Bob': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts"")])}",9
