,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,588,['Madi'],['Callie Calls'],"KH, 9D, AS, QS, KC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs"")])}",0
1,101,['Madi'],['Callie Calls'],"6S, JD, KD, JH, 8C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs"")])}",1
2,98,['Michelle'],['Robbie Random'],"10S, 8H, AH, KC, AD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Michelle': Hand([Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")])}",2
3,104,['Madi'],['Callie Calls'],"4C, 7S, 8C, 6H, 5D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds"")])}",3
4,5,['Madi'],['Callie Calls'],"KC, 9C, 7S, JH, QS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",4
5,82,['Madi'],['Callie Calls'],"4C, 6S, 7C, JH, 7D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"4C, KS, 4S, KC, KD","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds"")])}",6
7,15,['Michelle'],['Robbie Random'],"AC, 6H, 8C, 9H, 9D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")])}",7
8,18,['Madi'],['Callie Calls'],"9H, 7S, KS, 7C, AD","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")])}",8
9,14,['Madi'],['Callie Calls'],"7C, 9C, 4C, 10C, 4H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""4"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"10H, 4C, QH, 8C, QD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"8S, AC, AS, 9C, 6C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""6"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"7C, 5H, 7D, 8S, 8H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"QH, AD, 6S, 10C, 6H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts"")])}",13
