,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,453,['Sophia'],['Callie Calls'],"2H, 2S, AH, JC, KS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Spades"")])}",0
1,57,['Sophia'],['Callie Calls'],"JC, 9C, KC, QH, 9D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds"")])}",1
2,202,['Sophia'],['Callie Calls'],"4H, 4C, JS, KD, 8D","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",2
3,58,['Sophia'],['Callie Calls'],"KC, 10C, 4S, 4D, KH","{'Cody': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Hearts"")])}",3
4,141,['Cody'],['Robbie Random'],"KS, 10C, AD, 9C, JD","{'Cody': Hand([Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"5H, KH, 7C, 5S, 9H","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""5"", ""Spades""), Card(""9"", ""Hearts"")])}",5
6,4,['Sophia'],['Callie Calls'],"8C, AS, 7S, 10S, 10D","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")])}",6
7,215,['Sophia'],['Callie Calls'],"5C, 6S, 9D, 8C, 7H","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"QS, AC, 9D, KD, QD","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",8
9,26,['Sophia'],['Callie Calls'],"9H, KH, AD, 5D, 5H","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts"")])}",9
10,41,['Sophia'],['Callie Calls'],"2S, JS, JD, JH, 2H","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"5D, 3D, 5C, AD, 5S","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"AH, QS, JH, KH, QD","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"6D, 6S, 2H, 2C, 2D","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"KC, 8C, 10S, 8S, AC","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"10D, KH, AH, 6S, 9C","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Spades""), Card(""9"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"KC, 7S, AS, 9D, JS","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"KS, QD, KH, AH, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"KS, 5C, 5S, JD, JS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"9C, QD, 6H, 7S, QC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs"")])}",19
