,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,456,['Sophia'],['Callie Calls'],"AS, JD, 10C, 2S, 2D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""7"", ""Hearts""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds"")])}",0
1,275,['Steve'],['Robbie Random'],"AC, 10C, JS, 8D, AS","{'Steve': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Clubs"")])}",1
2,57,['Sophia'],['Callie Calls'],"KD, JC, 10S, 3D, 3C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs"")])}",2
3,510,['Sophia'],['Callie Calls'],"KH, AH, QH, 5C, 10S","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")])}",3
4,22,['Sophia'],['Callie Calls'],"6S, 7D, 4S, 3H, 5D","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""3"", ""Hearts""), Card(""5"", ""Diamonds"")])}",4
5,56,['Sophia'],['Callie Calls'],"5H, KD, 5D, 2H, 5S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""5"", ""Spades"")])}",5
6,10,['Sophia'],['Callie Calls'],"KD, 9C, AS, 5C, 5D","{'Steve': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"10H, 3S, 10C, 3H, KS","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""3"", ""Spades""), Card(""10"", ""Clubs""), Card(""3"", ""Hearts""), Card(""K"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"AS, AD, 7H, QC, KS","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"10S, 10D, JC, AS, KS","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"10S, QS, 8S, 10C, 8D","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Diamonds"")])}",10
