,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Madi'],['Callie Calls'],"AH, 9D, QC, 7H, KS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")])}",0
1,229,['Sophia'],['Callie Calls'],"5D, 7S, 6C, 4H, 8C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""4"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""4"", ""Hearts""), Card(""8"", ""Clubs"")])}",1
2,87,['Steve'],['Robbie Random'],"9H, AC, JH, JS, 9S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")]), 'Steve': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Spades"")])}",2
3,5,['Madi'],['Callie Calls'],"4H, 9D, 2D, 2S, 4D","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",3
4,150,['Sophia'],['Callie Calls'],"5C, KS, 2D, 2C, 5D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""5"", ""Diamonds"")])}",4
5,32,['Sophia'],['Callie Calls'],"JD, AD, 10D, QD, KS","{'Madi': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")])}",5
6,42,['Madi'],['Callie Calls'],"9S, 8S, JH, JC, 10H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts"")])}",6
7,34,['Sophia'],['Callie Calls'],"JC, AH, 9C, 8D, KC","{'Madi': Hand([Card(""6"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Steve': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,6,['Madi'],['Callie Calls'],"JD, QS, JH, 10H, AH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts"")])}",8
9,5,['Madi'],['Callie Calls'],"AD, 5S, JH, 5C, AS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Spades"")])}",9
