,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,547,['Madi'],['Callie Calls'],"6S, KH, 10D, 10C, 6D","{'Cody': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Madi': Hand([Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")])}",0
1,57,['Madi'],['Callie Calls'],"10C, 8D, 8H, JS, 7C","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Clubs"")]), 'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts""), Card(""J"", ""Spades"")])}",1
2,23,['Madi'],['Callie Calls'],"10C, QD, 10H, KD, AD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",2
3,180,['Michelle'],['Robbie Random'],"2D, 7D, 2S, 7S, KH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Hearts"")]), 'Michelle': Hand([Card(""2"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Hearts"")])}",3
4,5,['Madi'],['Callie Calls'],"JH, 9H, 10D, 5H, 8S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"AS, KS, KD, 4C, AD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds"")])}",5
6,168,['Michelle'],['Robbie Random'],"10S, 7S, JS, 6S, 4S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Spades"")]), 'Michelle': Hand([Card(""10"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Spades"")])}",6
7,302,['Madi'],['Callie Calls'],"6S, 6C, QH, JC, JS","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades"")])}",7
8,251,['Michelle'],['Robbie Random'],"JC, 9C, 2C, KC, 4C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Michelle': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""2"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"7H, JC, 6S, 7C, 6H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"10C, JD, 10D, 10S, 4D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds"")])}",10
11,312,['Madi'],['Callie Calls'],"10D, QH, 5H, 4D, 8D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",11
12,8,['Madi'],['Callie Calls'],"AH, 9D, 4H, 4S, 8C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""8"", ""Clubs"")])}",12
13,168,['Michelle'],['Robbie Random'],"AD, 2S, 2H, 4S, 4C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")]), 'Michelle': Hand([Card(""A"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"5S, 5H, 7C, 8C, QD","{'Madi': Hand([Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",14
15,286,['Madi'],['Callie Calls'],"10C, 7D, AS, 7S, 8S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Spades"")])}",15
16,40,['Madi'],['Callie Calls'],"10C, 10S, KS, QD, QC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",16
